Index,Chinese,Pinyin,English,Level
2423,敌人,dírén,Enemy,4
2424,底,dǐ,bottom,4
2425,地方,dìfang,local,4
2426,地面,dì miàn,ground; floor; surface,4
2427,地位,dìwèi,status,4
2428,地下,dì xià,underground; subterranean; secret,4
2429,地址,dìzhǐ,address,4
2430,典型,diǎnxíng,typical,4
2431,点名,diǎn míng,rollcall; mention sb. by name,4
2432,电灯,diàn dēng,electric light,4
2433,电动车,diàn  dòng chē,electric car,4
2434,电梯,diàntī,Elevator.,4
2435,电源,diànyuán,power supply,4
2436,顶,dǐng,top,4
2437,定,dìng,decide; fix; book; order; calm; stable,4
2438,冬季,dōng jì,winter,4
2439,动画片,dònghuàpià,n Cartoon,4
2440,动摇,dòng yáo,shake; vacillate; waver; be indecisive,4
2441,豆腐,dòufu,tofu,4
2442,独立,dúlì,Independent,4
2443,独特,dútè,unique,4
2444,独自,dú zì,alone; by oneself; one's own,4
2445,堵,dǔ,stop up; block up; stifled; suffocated;  oppressed,4
2446,堵车,dǔchē,Traffic jam,4
2447,肚子,dùzi,belly,4
2448,度过,dùguò,Spend,4
2449,锻炼,duànliàn,Physical exercise,4
2450,对比,duìbǐ,Contrast,4
2451,对付,duìfu,deal with,4
2452,对于,duìyú,about,4
2453,多次,duō cì,repeatedly; many a time,4
2454,多年,duō nián,many years,4
2455,多样,duō yàng,diversity,4
2456,多种,duō zhǒng,multiple; various; diversified; manifold,4
2457,恶心,ěxin,disgusting,4
2458,儿童,értóng,children,4
2459,而,ér,and,4
2460,而是,ér shì,but,4
2461,耳机,ěr jī,earphone; headphone; headset,4
2462,二手,èr shǒu,second hand,4
2463,发挥,fāhuī,Develop,4
2464,发票,fāpiào,invoice,4
2465,发烧,fāshāo,Have a fever,4
2466,法,fǎ,law; way; method; example; rule,4
2467,法官,fǎ guān,judge,4
2468,法律,fǎlǜ,Law,4
2469,法院,fǎyuàn,Court,4
2470,翻,fān,Turn,4
2471,翻译,fānyì,translate,4
2472,烦,fán,bother; to bother,4
2473,反,fǎn,turn over; rebel; on the contrary;  instead,4
2474,反而,fǎn'ér,Instead,4
2475,反映,fǎnyìng,reflect,4
2476,方,fāng,square,4
2477,方案,fāng'àn,programme,4
2478,方针,fāngzhēn,policy,4
2479,放松,fàngsōng,Relax,4
2480,非,fēi,wrong,4
2481,肥,féi,fat; fertile,4
2482,分布,fēnbù,distribution,4
2483,分散,fēnsàn,Dispersed,4
2484,分手,fēnshǒu,Break up,4
2485,分为,fēn wéi,divide into,4
2486,…分之…,… fēn zhī …,fractional number,4
2487,纷纷,fēnfēn,one after another,4
2488,奋斗,fèndòu,Struggle,4
2489,风格,fēnggé,style,4
2490,风景,fēngjǐng,Scenery,4
2491,风俗,fēngsú,Customs,4
2492,封闭,fēngbì,close,4
2493,否则,fǒuzé,otherwise,4
2494,夫妇,fūfù,couple,4
2495,夫妻,fū qī,man and wife,4
2496,夫人,fūrén,Madam,4
2497,符号,fúhào,Symbol,4
2498,符合,fúhé,accord with,4
2499,付出,fù chū,pay out,4
2500,负担,fùdān,burden,4
2501,附近,fùjìn,nearby,4
2502,复制,fùzhì,copy,4
2503,改善,gǎishàn,Improve,4
2504,改正,gǎizhèng,correction,4
2505,盖,gài,cover,4
2506,概括,gàikuò,Generalization,4
2507,感兴趣,gǎnxìngqù,be intretested in,4
2508,高潮,gāocháo,climax,4
2509,高价,gāo jià,high price,4
2510,高尚,gāoshàng,noble,4
2511,高铁,gāo tiě,high-speed train; high -speed rail,4
2512,格外,géwài,especially,4
2513,隔,gé,partition; separate; divide,4
2514,隔开,gé kāi,separate; space out; separation;  partition,4
2515,个别,gèbié,individual,4
2516,个体,gètǐ,individual,4
2517,各个,gè gè,each,4
2518,根,gēn,root,4
2519,根据,gēnjù,according to,4
2520,工程,gōng chéng,engineering; project,4
2521,公元,gōngyuán,A.D.,4
2522,供应,gōng yìng,supply; provide,4
2523,共,gòng,common; general; share; together;  altogether,4
2524,构成,gòuchéng,constitute,4
2525,构造,gòu zào,structure; construction,4
2526,购买,gòu mǎi,buy; purchase,4
2527,购物,gòuwù,Shopping,4
2528,骨头,gǔtou,Bone,4
2529,固定,gùdìng,fixed,4
2530,瓜,guā,melon,4
2531,怪（形、副）,guài,strange; odd; bewildering; very; quite;  rather,4
2532,关（名）,guān,pass; check point; customhouse;  mechanism; barrier,4
2533,关闭,guānbì,close; shut,4
2534,关于,guānyú,about,4
2535,官,guān,officer,4
2536,官方,guānfāng,by the government official,4
2537,光临,guānglín,presence,4
2538,光盘,guāngpán,CD,4
2539,逛,guàng,Stroll,4
2540,归,guī,return; go back,4
2541,规律,guīlǜ,Law,4
2542,规模,guīmó,scale,4
2543,规则,guīzé,rule,4
2544,果实,guǒshí,fruit,4
2545,过分,guòfèn,excessive,4
2546,海水,hǎi shuǐ,seawater; brine; sea,4
2547,海鲜,hǎixiān,seafood,4
2548,含,hán,contain; cherish; nurse; keep,4
2549,含量,hán liàng,content,4
2550,含义,hányì,signification; meanings,4
2551,含有,hán yǒu,contain; have,4
2552,寒假,hánjià,The winter vacation,4
2553,寒冷,hán lěng,cold; frigid; chill; frigidity,4
2554,行业,hángyè,industry,4
2555,航班,hángbān,flight,4
2556,航空,hángkōng,aviation,4
2557,毫米,háomǐ,millimeter,4
2558,毫升,háo shēng,milliliter,4
2559,好友,hǎo yǒu,friend,4
2560,号码,hàomǎ,number,4
2561,好,hǎo,good,4
2562,合同,hétong,contract,4
2563,黑暗,hēi àn,dark; darkness; murk,4
2564,红包,hóng bāo,red envelope; red packet,4
2565,后头,hòu,tou back,4
2566,厚,hòu,thick,4
2567,呼吸,hūxī,breathing,4
2568,忽视,hūshì,Ignore,4
2569,户,hù,household; family; door,4
2570,护士,hùshi,Nurse,4
2571,花（形）,huā,multicoloured; coloured; flowery,4
2572,划,huá,"paddle, row",4
2573,划,huà,"transfer, assign, differenciate",4
2574,怀念,huáiniàn,miss,4
2575,怀疑,huáiyí,doubt,4
2576,缓解,huǎnjiě,relieve,4
2577,黄瓜,huáng guā,cucumber; cuke,4
2578,黄金,huángjīn,gold,4
2579,回复,huí fù,reply,4
2580,汇,huì,remit; converge; collection; collected  things,4
2581,汇报,huìbào,report,4
2582,汇率,huìlǜ,exchange rate,4
2583,婚礼,hūnlǐ,wedding,4
2584,火（形）,huǒ,fiery; flaming; urgent,4
2585,伙,huǒ,partner; partnership,4
2586,伙伴,huǒbàn,Partner,4
2587,或许,huòxǔ,maybe; probably,4
2588,货,huò,goods; commodity; money,4
2589,获,huò,obtain; win; reap; capture; catch,4
2590,获得,huòdé,Get,4
2591,获奖,huò jiǎng,win a prize; receive an award,4
2592,获取,huò qǔ,gain; obtain,4
2593,几乎,jīhū,almost,4
2594,机构,jīgòu,mechanism,4
2595,机遇,jīyù,Opportunity,4
2596,积累,jīlěi,accumulation,4
2597,激动,jīdòng,Excited,4
2598,激烈,jīliè,fierce,4
2599,及格,jígé,pass,4
2600,极,jí,extremely,4
2601,极其,jíqí,extremely,4
2602,即将,jíjiāng,soon,4
2603,急忙,jímáng,Hastily,4
2604,集合,jíhé,aggregate,4
2605,记载,jìzǎi,Record,4
2606,纪律,jìlǜ,discipline,4
2607,技巧,jìqiǎo,Skill,4
2608,系,xì,department,4
2609,季,jì,season; period,4
2610,季度,jìdù,quarter (of a year),4
2611,季节,jìjié,Season,4
2612,既,jì,already; since; as,4
2613,既然,jìrán,Since,4
2614,寄,jì,send,4
2615,加班,jiābān,overtime work,4
2616,加入,jiā rù,add; mix; join; become a member,4
2617,加油站,jiāyóuzhàn,Gas station,4
2618,家务,jiāwù,Housework,4
2619,假如,jiǎrú,If,4
2620,坚固,jiāngù,strong,4
2621,检测,jiǎn cè,detect; test,4
2622,减,jiǎn,subtract; reduce; decrease; cut; minus,4
2623,减肥,jiǎnféi,Reduce weight,4
2624,减少,jiǎnshǎo,reduce,4
2625,简历,jiǎnlì,resume,4
2626,健身,jiànshēn,workout,4
2627,渐渐,jiàn jiàn,gradually; step by step,4
2628,江,jiāng,river,4
2629,讲究,jiǎngjiu,"Pay attention to, stress",4
2630,讲座,jiǎngzuò,Lecture,4
2631,奖,jiǎng,award; prize; reward,4
2632,奖金,jiǎngjīn,bonus,4
2633,奖学金,jiǎng xué jīn,scholarship; fellowship,4
2634,降,jiàng,fall; drop; descend; come down; lower,4
2635,降低,jiàngdī,reduce,4
2636,降价,jiàng jià,cut price; reduce price,4
2637,降落,jiàngluò,land,4
2638,降温,jiàng wēn,lower the temperature; drop in  temperature,4
2639,交换,jiāohuàn,exchange,4
2640,交际,jiāojì,communication,4
2641,教授,jiàoshòu,professor,4
2642,教训,jiàoxùn,lesson,4
2643,阶段,jiēduàn,stage,4
2644,街道,jiēdào,Street,4
2645,节省,jiéshěng,save,4
2646,结,jié,bear; form; knit; knot,4
2647,结构,jiégòu,structure,4
2648,结论,jiélùn,conclusion,4
2649,姐妹,jiě mèi,sisters,4
2650,解释,jiěshì,explain,4
2651,尽快,jǐnkuài,as soon as possible,4
2652,紧密,jǐn mì,close; inseparable,4
2653,尽力,jìnlì,Try the best,4
2654,进口,jìnkǒu,Imported,4
2655,近代,jìndài,Modern,4
2656,禁止,jìnzhǐ,prohibit,4
2657,经典,jīngdiǎn,classics; scriptures,4
2658,精力,jīnglì,energy,4
2659,竟然,jìngrán,Unexpectedly,4
2660,镜头,jìngtóu,Camera lens,4
2661,镜子,jìngzi,Mirror,4
2662,究竟,jiūjìng,exactly,4
2663,酒吧,jiǔbā,Bar,4
2664,居民,jūmín,residents,4
2665,居住,jūzhù,live,4
2666,局（名）,jú,bureau; part; portion; innings;  gathering,4
2667,巨大,jùdà,huge,4
2668,具备,jùbèi,"Have, possess",4
2669,距离,jùlí,distance,4
2670,聚,jù,assemble; gather; get together,4
2671,聚会,jùhuì,Party,4
2672,卷,juǎn,"roll, curly, reel",4
2673,卷,juàn,volume; file,4
2674,角色,juésè,role,4
2675,开花,kāi huā,flower; bloom; blossom,4
2676,开水,kāishuǐ,Boiling water,4
2677,看不起,kànbuqǐ,Despise,4
2678,看来,kàn lái,it seems; it appears,4
2679,看望,kànwàng,visit,4
2680,考察,kǎochá,Investigate,4
2681,考虑,kǎolǜ,Consider,4
2682,棵,kē,Tree (measure word),4
2683,可见,kějiàn,So,4
2684,空间,kōngjiān,space,4
2685,空,kōng,empty,4
2686,口袋,kǒu dài,pocket,4
2687,口语,kǒu yǔ,spoken language,4
2688,苦,kǔ,bitter,4
2689,会计,kuàijì,accountant,4
2690,快递,kuài dì,express delivery,4
2691,宽,kuān,wide,4
2692,宽广,kuān guǎng,broad; vast; extensive,4
2693,矿泉水,kuàngquáns huǐ,Mineral water,4
2694,扩大,kuòdà,Expand,4
2695,扩展,kuò zhǎn,expand; extend; spread; develop,4
2696,括号,kuò hào,brackets; parentheses,4
2697,垃圾,lā jī,rubbish; garbage; refuse; waste,4
2698,拉开,lā kāi,pull open; undraw; zip,4
2699,辣,là,"hot, spicy",4
2700,来不及,láibují,There's not enough time,4
2701,来得及,láidejí,In time,4
2702,来源,láiyuán,source,4
2703,老公,lǎo gōng,husband,4
2704,老家,lǎo jiā,hometown; home state,4
2705,老婆,lǎopó,wife,4
2706,老实,lǎoshi,honest,4
2707,乐趣,lèqù,pleasure,4
2708,泪,lèi,tear; teardrop,4
2709,泪水,lèi shuǐ,tear; teardrop,4
2710,类型,lèixíng,type,4
2711,冷静,lěngjìng,calm down,4
2712,厘米,límǐ,centimeter,4
2713,离不开,lí bù kāi,can't do without,4
2714,力气,lìqi,Strength,4
2715,历史,lìshǐ,History,4
2716,立即,lìjí,immediately,4
2717,利息,lìxī,accrual; interest,4
2718,利益,lìyì,interest,4
2719,俩,liǎ,Two,4
2720,良好,liánghǎo,good,4
2721,量,liáng,measure; estimate; amount,4
2722,粮食,liángshi,foodstuff,4
2723,两边,liǎng biān,both sides,4
2724,疗养,liáo yǎng,recuperate; convalesce,4
2725,了不起,liǎobuqǐ,Amazing,4
2726,了解,liǎojiě,understand,4
2727,列,liè,arrange; line up; list,4
2728,列车,lièchē,train,4
2729,列入,liè rù,included in,4
2730,列为,liè wéi,be classified as; listed as,4
2731,临时,línshí,temporary,4
2732,零食,língshí,snacks,4
2733,流传,liúchuán,spread,4
2734,楼梯,lóu tī,stairs; staircase; stairway,4
2735,陆地,lùdì,land,4
2736,陆续,lùxù,One after another,4
2737,录取,lùqǔ,matriculate,4
2738,律师,lǜshī,Lawyer,4
2739,轮,lún,wheel; ring; take turns,4
2740,轮船,lúnchuán,Ship,4
2741,轮椅,lún yǐ,wheelchair,4
2742,轮子,lún zi,wheel,4
2743,论文,lùnwén,paper,4
2744,落,luò,fall; drop; go down; set; decline; drop  behind,4
2745,毛巾,máojīn,Towel,4
2746,毛衣,máo yī,sweater; wool sweater,4
2747,帽子,màozi,Hat,4
2748,没错,méi cuò,that's right,4
2749,没法儿,méi fǎr,can not; no way,4
2750,没想到,méi xiǎng  dào,didn't expect,4
2751,美金,měi jīn,USD; dollar,4
2752,美女,měi nǚ,belle ; beauty; beautiful woman,4
2753,梦,mèng,dream,4
2754,梦见,mèng jiàn,see in a dream; dream about; dream,4
2755,梦想,mèngxiǎng,Dream,4
2756,秘密,mìmì,Secret,4
2757,秘书,mìshū,secretary,4
2758,密,mì,thick; secret; close; dense,4
2759,密码,mìmǎ,Password,4
2760,密切,mìqiè,close,4
2761,免费,miǎnfèi,Free of charge,4
2762,面临,miànlín,face,4
2763,面试,miàn shì,interview; audition,4
2764,描述,miáo shù,describe; depict; description,4
2765,描写,miáoxiě,describe,4
2766,名牌儿,míng páir,famous brand,4
2767,名片,míngpiàn,business card,4
2768,名人,míng rén,celebrity; famous person,4
2769,摸,mō,feel,4
2770,模特儿,mó tèr,model,4
2771,模型,móxíng,Model,4
2772,末,mò,end; last; final stage,4
2773,默默,mòmò,silently,4
2774,哪怕,nǎpà,even if,4
2775,哪,nǎ,which,4
2776,男女,nán nǚ men,and women; male and female,4
2777,男士,nán shì,man,4
2778,难免,nánmiǎn,Unavoidable,4
2779,脑袋,nǎodai,head,4
2780,闹,nào,noisy; make a noise; suffer; be  troubled,4
2781,闹钟,nào zhōng,alarm clock,4
2782,内部,nèibù,interior,4
2783,内科,nèikē,Internal medicine,4
2784,能干,nénggàn,capable,4
2785,宁静,níng jìng,peaceful; tranquil; quiet,4
2786,浓,nóng,strong,4
2787,女士,nǚshì,Ma'am,4
2788,暖气,nuǎn qì,central heating; heating; heater,4
2789,拍照,pāi zhào,take a picture; photograph,4
2790,排列,páiliè,array,4
2791,牌,pái,brand; cards; plate; tablet,4
2792,盘（名、量）,pán,tray; plate; dish; current price; game;  set; (measure word),4
2793,盘子,pánzi,plate,4
2794,胖子,pàng zi,fat person; fatty,4
2795,培训,péixùn,Train,4
2796,培训班,péi xùn bān,training class,4
2797,培养,péiyǎng,culture,4
2798,培育,péiyù,Cultivation,4
2799,批（动）,pī,criticize; batch,4
2800,批（量）,pī,(measure word),4
2801,片面,piànmiàn,one-sided,4
2802,品质,pǐnzhì,quality,4
2803,平方,píngfāng,square,4
2804,平静,píngjìng,calm,4
2805,平均,píngjūn,Average,4
2806,平稳,píng wěn,smooth; steady,4
2807,迫切,pòqiè,urgent,4
2808,破产,pòchǎn,bankruptcy,4
2809,妻子,qīzi,Wife,4
2810,期待,qīdài,expect; look forward to,4
2811,期间,qījiān,Period,4
2812,期末,qī mò,end of term,4
2813,期限,qīxiàn,term,4
2814,期中,qī zhōng,midterm,4
2815,其余,qíyú,Rest,4
2816,企业,qǐyè,enterprise,4
2817,气球,qì qiú,balloon,4
2818,汽水,qì shuǐ,soda; soda water; aerated water;  sparkling water,4
2819,汽油,qìyóu,gasoline,4
2820,器官,qìguān,organ,4
2821,前头,qián,tou front; thereinbefore,4
2822,前途,qiántú,future,4
2823,浅,qiǎn,shallow,4
2824,巧克力,qiǎokèlì,Chocolates,4
2825,切,qiē,cut,4
2826,亲爱,qīn'ài,Dear,4
2827,亲密,qīnmì,close,4
2828,青春,qīngchūn,Youth,4
2829,轻松,qīngsōng,Relaxed,4
2830,轻易,qīngyì,easily,4
2831,清醒,qīngxǐng,Sober,4
2832,情景,qíngjǐng,scene,4
2833,穷,qióng,poor,4
2834,穷人,qióng rén,poor people; the poor,4
2835,秋季,qiū jì,autumn; fall,4
2836,趋势,qūshì,trend,4
2837,圈,quān,circle,4
2838,权利,quánlì,Right,4
2839,却,què,but,4
2840,确认,quèrèn,confirm,4
2841,然而,rán'ér,however,4
2842,燃料,rán liào,fuel,4
2843,燃烧,ránshāo,burning,4
2844,热闹,rènao,lively,4
2845,热心,rèxīn,enthusiastic,4
2846,人家,rénjiā,family,4
2847,日记,rìjì,diary,4
2848,日历,rìlì,calendar,4
2849,如今,rújīn,nowadays,4
2850,弱,ruò,weak,4
2851,伞,sǎn,umbrella,4
2852,散,sàn,break up; disperse; distribute;  disseminate; give out,4
2853,扫,sǎo,sweep; broom,4
2854,色,sè,colour; look; expression; scene; quality,4
2855,色彩,sècǎi,color,4
2856,森林,sēnlín,Forest,4
2857,晒,shài,The sun,4
2858,闪,shǎn,dodge; get out of the way; sprain;  flash; sparkle; shine; lightning,4
2859,闪电,shǎndiàn,lightning,4
2860,善良,shànliáng,kind; virtuous,4
2861,善于,shànyú,be good at,4
2862,伤害,shānghài,hurt,4
2863,商务,shāngwù,business,4
2864,赏,shǎng,award; appreciate; reward,4
2865,上个月,shàng gè,yu è last month,4
2866,上楼,shàng lóu,go upstairs,4
2867,上门,shàng mén,drop in; visit,4
2868,烧,shāo,burn; cook; bake; roast; run a fever,4
2869,设施,shèshī,facilities,4
2870,设置,shèzhì,Set up,4
2871,申请,shēnqǐng,Apply,4
2872,身材,shēncái,figure,4
2873,身份,shēnfèn,identity,4
2874,身高,shēn gāo,height,4
2875,深厚,shēn hòu,deep; profound; solid; deep -seated,4
2876,神话,shénhuà,Myth,4
2877,神秘,shénmì,mysterious,4
2878,甚至,shènzhì,Even to the extent that,4
2879,失败,shībài,fail,4
2880,失望,shīwàng,Disappointment,4
2881,失业,shīyè,Unemployment,4
2882,诗,shī,poetry,4
2883,诗人,shī rén,poet,4
2884,湿,shī,wet; damp; humid,4
2885,实施,shíshī,Implementation,4
2886,实用,shíyòng,Practical,4
2887,食堂,shí táng,dining room; mess hall; canteen,4
2888,使劲,shǐ jìn,exert all one's strength; put in energy,4
2889,士兵,shìbīng,soldiers,4
2890,市区,shì qū,downtown area; urban district,4
2891,似的,shìde,Like,4
2892,事物,shìwù,Thing,4
2893,事先,shìxiān,Prior,4
2894,试卷,shìjuàn,test paper,4
2895,是否,shìfǒu,Whether,4
2896,收回,shōu huí,withdraw; regain; call in; countermand,4
2897,收获,shōuhuò,Harvest,4
2898,收益,shōuyì,income; profit,4
2899,手工,shǒugōng,manual,4
2900,手里,shǒu lǐ,in one's hands,4
2901,手术,shǒushù,Operation,4
2902,手套,shǒutào,glove,4
2903,守,shǒu,guard; defend; observe,4
2904,首（量）,shǒu,(measure word),4
2905,受不了,shòubuliǎo,Cannot bear sth,4
2906,售货员,shòuhuòyuá,n Salesperson,4
2907,叔叔,shūshu,uncle,4
2908,舒适,shūshì,Comfortable,4
2909,熟练,shúliàn,skilled,4
2910,暑假,shǔ jià,summer vacation,4
2911,树林,shù lín,wood; grove; forest,4
2912,树叶,shù yè,leaf; tree leaf,4
2913,数据,shùjù,data,4
2914,数码,shùmǎ,Digital,4
2915,刷,shuā,brush; scrub; paste up,4
2916,刷牙,shuāyá,Brush one's teeth,4
2917,刷子,shuā zi,brush; scrub,4
2918,帅,shuài,Handsome,4
2919,帅哥,shuài gē,handsome boy,4
2920,率先,shuài xiān,lead; take the lead,4
2921,睡着,shuì zháo,sleep; fall asleep,4
2922,顺序,shùnxù,order,4
2923,说不定,shuōbudìng,maybe,4
2924,说服,shuōfú,Persuade,4
2925,思考,sīkǎo,Reflection,4
2926,似乎,sìhū,It seems that,4
2927,松,sōng,pine; loose; slack; loosen; relax;  slacken,4
2928,松树,sōng shù,pine tree; pine,4
2929,塑料,sù liào,plastic,4
2930,塑料袋,sùliàodài,Plastic bag,4
2931,酸,suān,acid,4
2932,酸奶,suān nǎi,yogurt,4
2933,随手,suíshǒu,Readily,4
2934,孙女,sūn nǚ,granddaughter,4
2935,孙子,sūnzi,Grandson,4
