Index,Chinese,Pinyin,English,Level
3372,除夕,chúxī,the New Year's Eve,5
3373,厨房,chúfáng,Kitchen,5
3374,处罚,chǔ fá,punish; penalize; punishment,5
3375,处分,chǔfèn,prescription,5
3376,处在,chǔ zài,at; be in,5
3377,传达,chuándá,Convey,5
3378,传递,chuán dì,transmit; deliver; transfer,5
3379,传真,chuánzhēn,Fax,5
3380,窗帘,chuānglián,Window curtains,5
3381,闯,chuǎng,rush; dash,5
3382,创立,chuànglì,Found,5
3383,辞典,cí diǎn,dictionary,5
3384,辞职,cízhí,resign,5
3385,此后,cǐ hòu,after that; hereafter; henceforth,5
3386,此刻,cǐ kè,now; at the moment,5
3387,此时,cǐ shí,this moment; now,5
3388,聪明,cōngming,clever,5
3389,从而,cóng'ér,thus,5
3390,从中,cóng zhōng,from; therefrom,5
3391,脆,cuì,crisp; brittle; fragile; clear voice,5
3392,存款,cún kuǎn,deposit; bank savings,5
3393,寸,cùn,very short; a unit of length (=,5
3394,达成,dáchéng,Reach,5
3395,答,dá,answer; reply; respond; return,5
3396,答复,dáfù,Reply,5
3397,打（介）,dǎ,from; since,5
3398,打扮,dǎban,dress up,5
3399,打包,dǎbāo,Pack,5
3400,打击,dǎjī,strike,5
3401,打架,dǎjià,Fight,5
3402,打扰,dǎrǎo,Disturb,5
3403,大胆,dà dǎn,bold; daring; audacious; audacity,5
3404,大都,dà dōu,for the most part; mostly,5
3405,大纲,dà gāng,outline; main point; compendium,5
3406,大伙儿,dàhuǒr,you all; everybody,5
3407,大奖赛,dà jiǎng sài,grand prix,5
3408,大脑,dà nǎo,cerebrum; brain,5
3409,大事,dà shì,event; in a big way,5
3410,大厅,dà tīng,hall,5
3411,大象,dàxiàng,Elephant,5
3412,大熊猫,dà xióng mā,o panda; giant panda,5
3413,大于,dà yú,be greater than; more than,5
3414,大致,dàzhì,roughly,5
3415,呆,dāi,stay,5
3416,待,dāi,stay,5
3417,代价,dàijià,cost,5
3418,代理,dàilǐ,agent,5
3419,带有,dài yǒu,with; have; bear,5
3420,贷款,dàikuǎn,extend credit to; provide a loan,5
3421,单一,dān yī,single; unitary; sole,5
3422,胆,dǎn,courage; gut; bravery; gallbladder,5
3423,胆小,dǎn xiǎo,timid; cowardly,5
3424,蛋糕,dàngāo,Cake,5
3425,当场,dāngchǎng,On the spot,5
3426,当代,dāngdài,Contemporary,5
3427,当年,dāng nián,in those years; in those days,5
3428,当前,dāngqián,current,5
3429,当选,dāngxuǎn,be elected; come in,5
3430,挡,dǎng,block,5
3431,到来,dào lái,arrival; advent,5
3432,倒是,dào shì,on the contrary; contrariwise; actually,5
3433,道德,dàodé,Morality,5
3434,得了,dé le,stop it; hold it; got,5
3435,得以,dé yǐ,be able to,5
3436,等候,děnghòu,Wait,5
3437,等级,děngjí,grade; rank,5
3438,低于,dī yú,below; under,5
3439,地带,dì dài,zone; district; region,5
3440,地形,dì xíng,terrain; topography; orographic,5
3441,地震,dìzhèn,earthquake,5
3442,递,dì,Delivery,5
3443,递给,dì gěi,hand over; pass on,5
3444,典礼,diǎnlǐ,Ceremony,5
3445,点燃,diǎn rán,light; ignite; kindle,5
3446,电池,diànchí,Battery,5
3447,电饭锅,diàn fàn guō,rice cooker,5
3448,电子版,diàn zǐ bǎn,electronic edition,5
3449,调动,diàodòng,transfer,5
3450,丢,diū,lose,5
3451,动机,dòngjī,motivation,5
3452,动手,dòngshǒu,DIY,5
3453,动态,dòngtài,dynamic,5
3454,动员,dòngyuán,mobilization,5
3455,冻,dòng,freeze,5
3456,洞,dòng,hole,5
3457,豆制品,dòu zhì pǐn,bean products,5
3458,毒,dú,poison; toxin; narcotics; poisonous,5
3459,堆,duī,heap,5
3460,对立,duìlì,Opposition,5
3461,对应,duìyìng,Corresponding,5
3462,吨,dūn,ton,5
3463,朵,duǒ,classifier of flower,5
3464,躲,duǒ,hide; avoid; dodge,5
3465,儿女,ér nǚ,sons and daughters; children,5
3466,耳朵,ěrduo,Ears,5
3467,二维码,èr wéi mǎ,QR code,5
3468,发布,fābù,Release,5
3469,发觉,fājué,find,5
3470,发射,fāshè,launch,5
3471,发行,fāxíng,issue,5
3472,罚,fá,punish; penalize; punishment;  retribution,5
3473,罚款,fákuǎn,forfeit; amerce; fine,5
3474,法规,fǎ guī,rule of law; statute; law,5
3475,法制,fǎ zhì,legal system,5
3476,繁荣,fánróng,Boom,5
3477,返回,fǎn huí,return; backtrack; go back,5
3478,防治,fángzhì,Prevention and cure,5
3479,放大,fàngdà,enlarge,5
3480,放弃,fàngqì,give up,5
3481,分成,fēn chéng,divide into; separate into,5
3482,分解,fēnjiě,decompose,5
3483,分类,fēn lèi,classify; assort; classification; sort,5
3484,分离,fēn lí,separate; sever; dissociate;  detachment,5
3485,分析,fēnxī,Analysis,5
3486,分享,fēn xiǎng,share; partake,5
3487,丰收,fēngshōu,Have bumper harvest,5
3488,风度,fēngdù,Manner,5
3489,风光,fēngguāng,Scenery,5
3490,封（动）,fēng,seal; confer; envelop,5
3491,疯,fēng,mad; crazy; insane,5
3492,疯狂,fēngkuáng,Insane,5
3493,扶,fú,hold up,5
3494,服从,fúcóng,Obey,5
3495,幅,fú,classifier of picture,5
3496,幅度,fúdù,range; extent,5
3497,福利,fúlì,welfare,5
3498,辅助,fǔzhù,auxiliary,5
3499,负责人,fù zé rén,principal; person in charge,5
3500,附件,fùjiàn,Enclosure,5
3501,改革,gǎigé,reform,5
3502,干脆,gāncuì,simply,5
3503,干扰,gānrǎo,interfere,5
3504,干预,gānyù,intervene,5
3505,感想,gǎnxiǎng,Feel,5
3506,钢笔,gāng bǐ,pen; fountain pen,5
3507,钢琴,gāng qín,piano; pianoforte,5
3508,高大,gāo dà,tall; lofty,5
3509,高度,gāo dù,altitude; height; high; highly,5
3510,高跟鞋,gāo gēn xié,high-heeled shoes,5
3511,高温,gāo wēn,high temperature,5
3512,高于,gāo yú,higher than; overtop,5
3513,高原,gāo yuán,plateau; highland; tableland,5
3514,搞,gǎo,get,5
3515,搞好,gǎo hǎo,do well; make a good job of,5
3516,歌曲,gē qǔ,song,5
3517,隔壁,gébì,next door,5
3518,个儿,gèr,height; size; stature,5
3519,跟前,gēnqián,In front of,5
3520,跟随,gēnsuí,follow,5
3521,更换,gēng huàn,change; replace,5
3522,更新,gēngxīn,renovate; renew,5
3523,工艺,gōng yì,technology; craft,5
3524,工作日,gōng zuò rì,workday; working day,5
3525,公告,gōnggào,Notice,5
3526,公认,gōngrèn,Accepted,5
3527,公式,gōngshì,formula,5
3528,公正,gōngzhèng,fair,5
3529,共计,gòngjì,count up to; sum to,5
3530,共享,gòng xiǎng,enjoy together; share,5
3531,沟,gōu,ditch; gutter; trench; gully,5
3532,沟通,gōutōng,Communicate,5
3533,估计,gūjì,estimate,5
3534,古老,gǔ lǎo,ancient; old; age -old,5
3535,鼓,gǔ,drum; beat; rouse; bulging,5
3536,鼓励,gǔlì,encourage,5
3537,鼓掌,gǔzhǎng,applause,5
3538,顾问,gùwèn,adviser,5
3539,怪（动）,guài,blame,5
3540,关怀,guānhuái,Care,5
3541,关键,guānjiàn,crux,5
3542,冠军,guànjūn,Champion,5
3543,光荣,guāngróng,glory,5
3544,光线,guāng xiàn,light; optical line,5
3545,广,guǎng,broad; wide; vast; extensive;  numerous; spread,5
3546,广泛,guǎngfàn,widely,5
3547,规划,guīhuà,Plan,5
3548,鬼,guǐ,ghost; spirit; apparition; dirty trick;  terrible; smart,5
3549,柜子,guì zi,cupboard; cabinet; chest,5
3550,滚,gǔn,rolling,5
3551,锅,guō,pot,5
3552,国籍,guójí,nationality,5
3553,国民,guó mín,national,5
3554,过度,guòdù,excessive,5
3555,过敏,guòmǐn,allergy,5
3556,过于,guòyú,too; excessively,5
3557,害,hài,evil; harm; calamity; harmful;  destructive; injurious; do harm,5
3558,汗,hàn,sweat,5
3559,好运,hǎo yùn,good luck,5
3560,号召,hàozhào,call,5
3561,合并,hébìng,merge,5
3562,合成,héchéng,Synthesis,5
3563,盒,hé,box; case,5
3564,盒饭,hé fàn,box lunch,5
3565,盒子,hézi,Box,5
3566,贺卡,hè kǎ,greeting card,5
3567,恨,hèn,hate,5
3568,猴,hóu,monkey,5
3569,后悔,hòuhuǐ,regret,5
3570,胡同儿,hú tòngr,alley; lane; bystreet,5
3571,胡子,hú zi,mustache; beard,5
3572,虎,hǔ,tiger,5
3573,华语,huá yǔ,the Chinese language; Chinese,5
3574,滑,huá,slippery,5
3575,化石,huàshí,Fossil,5
3576,划分,huàfēn,Divide,5
3577,画面,huà miàn,frames; picture,5
3578,环节,huánjié,link,5
3579,慌,huāng,panic; flurried; confused; flustered;  awfully,5
3580,慌忙,huāng máng,hurried; hurry; hurry -scurry,5
3581,灰色,huī sè,gray; pessimistic,5
3582,恢复,huīfù,recovery,5
3583,回报,huíbào,Return,5
3584,回避,huíbì,obviate; slide over,5
3585,回顾,huígù,review; look back,5
3586,回收,huíshōu,recovery,5
3587,回头,huí tóu,turn one's head; repent; later,5
3588,回信,huí xìn,reply; write in reply; letter in reply,5
3589,回忆,huíyì,Memory,5
3590,汇款,huì kuǎn,remittance; remit money,5
3591,会谈,huì tán,talks; conversation,5
3592,活力,huólì,energy; vigor,5
3593,活泼,huópō,lively,5
3594,火柴,huǒchái,Match,5
3595,火腿,huǒ tuǐ,ham,5
3596,火灾,huǒ zāi,fire; fire disaster,5
3597,或是,huò shì,or,5
3598,机器人,jī qì rén,robot,5
3599,机制,jī zhì,mechanism; machine -processed;  machine -made,5
3600,肌肉,jīròu,muscle,5
3601,基地,jīdì,base,5
3602,基金,jījīn,fund,5
3603,即使,jíshǐ,even if,5
3604,集团,jítuán,group,5
3605,挤,jǐ,squeeze; press; crowd; push; crowded,5
3606,记忆,jìyì,memory,5
3607,技能,jì néng,technical ability; skill,5
3608,继承,jìchéng,inherit,5
3609,加热,jiā rè,heat; heating; calefaction,5
3610,加上,jiā shàng,plus; add; with the addition of,5
3611,加速,jiā sù,speed up; accelerate; quicken,5
3612,加以,jiā yǐ,moreover; in addition,5
3613,夹,jiā,clip; folder; press from both sides;  place in between; mix,5
3614,甲,jiǎ,nail,5
3615,价,jià,price; value,5
3616,驾驶,jiàshǐ,Drive,5
3617,驾照,jià zhào,driving license,5
3618,坚定,jiāndìng,"Firm, steadfast",5
3619,肩,jiān,shoulder,5
3620,艰苦,jiānkǔ,hard,5
3621,艰难,jiānnán,difficult,5
3622,检验,jiǎnyàn,test,5
3623,减轻,jiǎn qīng,lighten; ease; alleviate; mitigate;  mitigation,5
3624,剪,jiǎn,cut; clip; trim; wipe out; scissors,5
3625,剪刀,jiǎndāo,scissors,5
3626,剪子,jiǎn zi,scissors; shears; clippers,5
3627,间接,jiànjiē,indirect,5
3628,建造,jiàn zào,construct; build; put up,5
3629,建筑,jiànzhù,Architecture,5
3630,健全,jiànquán,sound,5
3631,键,jiàn,key; bond,5
3632,键盘,jiànpán,keyboard,5
3633,将,jiāng,be going to; will; would,5
3634,将要,jiāng yào,will; shall; be going to,5
3635,奖励,jiǎnglì,reward,5
3636,交代,jiāodài,hand over,5
3637,郊区,jiāoqū,Suburb,5
3638,胶带,jiāo dài,tape; adhesive plaster,5
3639,胶水,jiāoshuǐ,glue,5
3640,脚步,jiǎo bù,footstep; step; pace,5
3641,接触,jiēchù,Contact,5
3642,接连,jiēlián,One after another,5
3643,解除,jiěchú,Relieve,5
3644,解放,jiěfàng,liberate,5
3645,戒,jiè,Quit,5
3646,届,jiè,Session,5
3647,今日,jīn rì,today,5
3648,尽管,jǐnguǎn,although,5
3649,紧紧,jǐn jǐn,closely; tightly,5
3650,尽可能,jǐn kě néng,as much as possible,5
3651,进化,jìnhuà,evolution,5
3652,近来,jìnlái,recently,5
3653,经费,jīngfèi,funds,5
3654,景象,jǐng xiàng,scene; sight,5
3655,警告,jǐnggào,warning,5
3656,竞赛,jìngsài,competition,5
3657,竞争,jìngzhēng,compete,5
3658,酒鬼,jiǔ guǐ,drunkard,5
3659,救灾,jiù zāi,disaster relief,5
3660,居然,jūrán,actually,5
3661,局面,júmiàn,situation,5
3662,局长,jú zhǎng,director,5
3663,举动,jǔdòng,Move,5
3664,拒绝,jùjué,refuse,5
3665,俱乐部,jùlèbù,Club,5
3666,剧本,jùběn,Script,5
3667,决不,jué bù,never; not at all; definitely not,5
3668,绝望,juéwàng,Despair,5
3669,军人,jūn rén,soldier; serviceman,5
3670,开幕,kāi mù,open; inaugurate; rising of a curtain,5
3671,开幕式,kāimùshì,The opening ceremony,5
3672,看成,kàn chéng,regard as; consider as; treat,5
3673,看出,kàn chū,see; find out; perceive; espy,5
3674,看待,kàndài,To view,5
3675,考核,kǎohé,examine; assess,5
3676,烤肉,kǎo ròu,barbecue; roast meat; grill,5
3677,烤鸭,kǎoyā,Roasted Duck,5
3678,靠近,kào jìn,near; close to; by,5
3679,颗,kē,grain (measure word),5
3680,咳,ké,cough,5
3681,可,kě,can; may; approve; be worth; suit; but;  yet,5
3682,可怜,kělián,Poor,5
3683,可惜,kěxī,unfortunately,5
3684,渴望,kěwàng,Yearn,5
3685,刻（动）,kè,carve; engrave; cut,5
3686,客户,kèhù,Customer,5
3687,客气,kè qì,polite; courteous; modest,5
3688,客厅,kètīng,A living room,5
3689,课题,kètí,topic,5
3690,肯定,kěndìng,sure,5
3691,空中,kōng zhōng,in the air; in the sky,5
3692,控制,kòngzhì,control,5
3693,口号,kǒu hào,slogan; catchword; catchphrase,5
3694,库,kù,library; warehouse; storeroom,5
3695,快活,kuàihuo,happy,5
3696,宽度,kuān dù,breadth; width,5
3697,狂,kuáng,mad; crazy; violent; wild; unrestrained,5
3698,亏,kuī,deficit; deficiency; luckily,5
3699,困扰,kùn rǎo,perplex; persecute; puzzle; obsession,5
3700,落,là,be missing; leave behind; forget to  bring,5
3701,来信,lái xìn,send a letter here; incoming letter,5
3702,烂,làn,rotten,5
3703,朗读,lǎngdú,Reading aloud,5
3704,浪漫,làngmàn,romantic,5
3705,劳动,láodòng,labour,5
3706,梨,lí,pear,5
3707,礼,lǐ,ceremony; rite; courtesy; manners; gift,5
3708,礼拜,lǐ bài,week; day of the week; religious  service,5
3709,礼貌,lǐmào,politeness,5
3710,厉害,lìhai,Fierce,5
3711,立,lì,stand; erect; stand; found; set up;  upright; vertical,5
3712,立场,lìchǎng,position,5
3713,利润,lìrùn,profit,5
3714,例外,lìwài,exception,5
3715,连接,lián jiē,"link; joint; relate, unite, connect,  attach; connection",5
3716,联络,liánluò,liaison,5
3717,联想,liánxiǎng,association,5
3718,脸盆,liǎn pén,washbasin,5
3719,脸色,liǎn sè,complexion; look; color; facial  expression,5
3720,恋爱,liàn'ài,Love,5
3721,两岸,liǎng àn,both sides; both coasts; cross -strait,5
3722,邻居,línjū,neighbor,5
3723,铃,líng,bell,5
3724,铃声,líng shēng,ring; the tinkle of bells,5
3725,领带,lǐng dài,necktie; tie,5
3726,令,lìng,make; cause; order; command; decree;  season,5
3727,流动,liú dòng,flow; run; mobile,5
3728,流通,liútōng,circulation,5
3729,漏,lòu,leak,5
3730,漏洞,lòu dòng,leak; flaw; hole; loophole,5
3731,逻辑,luóji,logic,5
3732,落实,luòshí,put into effect,5
3733,码头,mǎtóu,wharf,5
3734,骂,mà,scold,5
3735,买卖,mǎi mài,buy and sell; business; transaction,5
3736,漫长,màncháng,Very long,5
3737,漫画,mànhuà,Cartoon,5
3738,毛笔,máo bǐ,writing brush; Chinese brush,5
3739,矛盾,máodùn,contradiction,5
3740,冒,mào,give off; risk; bold; boldly,5
3741,贸易,màoyì,Trade,5
3742,煤,méi,coal,5
3743,煤气,méi qì,coal gas; gas,5
3744,门诊,mén zhěn,outpatient service,5
3745,迷人,mírén,charming,5
3746,迷信,míxìn,superstition,5
3747,面貌,miànmào,face,5
3748,面子,miànzi,prestige; face,5
3749,秒,miǎo,seconds,5
3750,敏感,mǐngǎn,Sensitive,5
3751,明亮,míng liàng,light; bright; lightness; vividness,5
3752,明明,míngmíng,Obviously,5
3753,命令,mìnglìng,command,5
3754,模范,mófàn,model,5
3755,模仿,mófǎng,imitate,5
3756,模糊,móhu,vague,5
3757,模式,móshì,mode; style,5
3758,摩擦,mócā,rub; scrape,5
3759,摩托,mó tuō,motorcycle,5
3760,模样,múyàng,Appearance,5
3761,目光,mùguāng,Eye,5
3762,耐心,nàixīn,patience,5
3763,男性,nán xìng,man; male; masculinity,5
3764,南北,nán běi,north and south,5
3765,南极,nán jí,South Pole; Antarctic Pole,5
3766,难得,nándé,rare,5
3767,难以,nán yǐ,difficult; hard,5
3768,脑子,nǎo zi,brain,5
3769,内在,nèizài,inherent,5
3770,能量,néngliàng,energy,5
3771,年度,niándù,year,5
3772,年龄,niánlíng,Age,5
3773,年前,nián qián,before the New Year; years ago,5
3774,牛（形）,niú,stubborn; brave; awesome,5
3775,牛仔裤,niúzǎikù,Jeans,5
3776,农产品,nóng chǎn  pǐn,produce; farm produce; agricultural  products,5
3777,女性,nǚ xìng,woman; woman; femininity,5
3778,暖,nuǎn,warm; genial; warm up,5
3779,偶尔,ǒu'ěr,occasionally,5
3780,偶然,ǒurán,accidental,5
3781,偶像,ǒuxiàng,idol,5
3782,拍摄,pāi shè,film; shoot,5
3783,排除,páichú,eliminate; remove; debar,5
3784,旁,páng,side; other; else,5
3785,陪,péi,accompany,5
3786,赔,péi,compensate; pay; stand a loss,5
3787,赔偿,péicháng,compensate for,5
3788,配备,pèibèi,Equipment,5
3789,配套,pèitào,form a complete set,5
3790,喷,pēn,spout; gush ; spray; sprinkle; spraying;  spew,5
3791,盆,pén,"basin, tub",5
3792,披,pī,wrap around,5
3793,皮肤,pífū,skin,5
3794,皮鞋,píxié,leather shoes,5
3795,脾气,píqi,Bad temper,5
3796,匹,pǐ,Horse (measure word),5
3797,骗,piàn,fool,5
3798,骗子,piàn zi,fraud; cheater; swindler,5
3799,拼,pīn,spell; go all out; join together; spelling,5
3800,频道,píndào,channel,5
3801,频繁,pínfán,frequently,5
3802,品,pǐn,savour; taste; judge; blow; species;  grade,5
3803,品（工艺品）,pǐn （gōng  yì pǐn）,article; product (handicraft),5
3804,品种,pǐnzhǒng,Varieties,5
3805,平坦,píngtǎn,flat,5
3806,平原,píngyuán,plain,5
3807,评估,pínggū,evaluate,5
3808,评论,pínglùn,comment,5
3809,凭,píng,By,5
3810,泼,pō,Splash,5
3811,葡萄,pútao,Grape,5
3812,葡萄酒,pú táo jiǔ,wine; grape wine,5
3813,期望,qīwàng,Expect,5
3814,齐全,qíquán,complete; all ready,5
3815,其,qí,his; her; its; their; he; she; it; they; such;  that,5
3816,启动,qǐ dòng,switch on; start,5
3817,启发,qǐfā,Inspire,5
3818,启事,qǐshì,Notice,5
3819,起到,qǐ dào,play; act as,5
3820,起码,qǐmǎ,"Minimum, at least",5
3821,气体,qì tǐ,gas,5
3822,气象,qìxiàng,Meteorological,5
3823,签（动）,qiān,sign; autograph; sign one's name,5
3824,签订,qiān dìng,conclude and sign; sign,5
3825,签名,qiān míng,signature; sign one's name; autograph,5
3826,签约,qiān yuē,sign up; sign a contract,5
3827,签证,qiānzhèng,visa,5
3828,签字,qiān zì,sign; affix one's signature; sign a  signature,5
3829,前景,qiánjǐng,prospect,5
3830,前提,qiántí,precondition,5
3831,欠,qiàn,owe,5
3832,枪,qiāng,gun,5
3833,强度,qiáng dù,strength; intensity,5
3834,墙壁,qiáng bì,wall,5
3835,抢,qiǎng,rob,5
3836,抢救,qiǎngjiù,rescue,5
3837,强迫,qiǎngpò,Force,5
3838,悄悄,qiāoqiāo,quietly,5
3839,敲,qiāo,knock,5
3840,敲门,qiāo mén,knock on the door,5
3841,瞧,qiáo,look,5
3842,琴,qín,zither; a general name for certain  musical instruments,5
3843,勤奋,qínfèn,hardworking,5
3844,青,qīng,young,5
3845,清晨,qīngchén,Early morning,5
3846,清理,qīnglǐ,Clear,5
3847,情节,qíngjié,plot,5
3848,情形,qíngxíng,Situation,5
3849,晴朗,qínglǎng,sunny,5
3850,区域,qūyù,region,5
3851,全都,quán dōu,all; without exception,5
3852,全世界,quán shì jiè,worldwide; entire world,5
3853,泉,quán,spring; fountain,5
3854,劝,quàn,persuade,5
3855,缺乏,quēfá,Lack,5
3856,确立,quèlì,establish,5
3857,群体,qún tǐ,group; colony,5
3858,群众,qúnzhòng,The masses,5
3859,染,rǎn,dye,5
3860,绕,rào,Around,5
3861,热量,rè liàng,calories; heat; quantity of heat,5
3862,热门,rèmén,Hot,5
3863,人间,rénjiān,Human world,5
3864,人力,rén lì,manpower; manual labour,5
3865,人士,rénshì,Personage,5
3866,人物,rénwù,character,5
3867,忍,rěn,endure; tolerate; put up with; have the  heart to,5
3868,忍不住,rěnbuzhù,Unable to bear,5
3869,忍受,rěnshòu,bear,5
3870,认,rèn,recognize; know; make out; identify;  adopt; admit,5
3871,认定,rèndìng,cognizance,5
3872,扔,rēng,throw,5
3873,仍旧,réngjiù,still,5
3874,如此,rú cǐ,so; such; in this way; like that,5
3875,如同,rú tóng,as; like,5
3876,如下,rú xià,as follows; as below,5
3877,入门,rù mén,introduction to a subject; elementary  course,5
3878,软,ruǎn,soft,5
3879,软件,ruǎnjiàn,Software,5
3880,洒,sǎ,sprinkle,5
3881,散,sǎn,fall apart; scattered,5
3882,散文,sǎnwén,Prose,5
3883,杀,shā,kill,5
3884,杀毒,shā dú,antivirus; kill virus,5
3885,沙漠,shāmò,Desert,5
3886,傻,shǎ,silly,5
3887,山区,shān qū,mountain area,5
3888,扇,shān,fan; slap; flap; flutter; fan up,5
3889,扇,shàn,fan; leaf; (measure word),5
3890,扇子,shànzi,Fan,5
3891,商标,shāngbiāo,trademark,5
3892,上级,shàngjí,Superior,5
3893,上下,shàng xià,up and down; top and bottom; high  and low; old and young,5
3894,上涨,shàng zhǎng,rise; go up,5
3895,稍,shāo,a little; a bit; trifle; somewhat,5
3896,稍微,shāowēi,slightly,5
3897,蛇,shé,snake,5
3898,舍不得,shěbude,Hate to part with or use,5
3899,舍得,shě de,be willing to part with; not begrudge,5
3900,设想,shèxiǎng,imagine， conceive,5
3901,社,shè,society; organized body,5
3902,社区,shèqū,Community,5
3903,射,shè,shoot; fire; discharge in a jet; send out,5
3904,射击,shèjī,Shooting,5
3905,摄像,shè xiàng,camera; camera shooting,5
3906,摄像机,shè xiàng jī,video camera,5
3907,摄影,shèyǐng,Photography,5
3908,摄影师,shè yǐng shī,photographer; cameraman,5
