Index,Chinese,Pinyin,English,Level
578,春节,chūn jié,Spring Festival; Chinese New  Year,2
579,春天,chūn tiān,spring,2
580,词,cí,word,2
581,词典,cídiǎn,Dictionary,2
582,词语,cíyǔ,terms,2
583,从小,cóng xiǎo,from childhood,2
584,答应,dāying,promise,2
585,打工,dǎgōng,Work,2
586,打算,dǎsuàn,Plan,2
587,打印,dǎyìn,Print,2
588,大部分,dà bù fèn,most,2
589,大大,dà dà,greatly; enormously,2
590,大多数,dà duō shù,most; great majority,2
591,大海,dà hǎi,sea,2
592,大家,dàjiā,everybody,2
593,大量,dà liàng,a lot of; lots of,2
594,大门,dà mén,door; gate,2
595,大人,dà rén,adult,2
596,大声,dà shēng,loud,2
597,大小,dà xiǎo,size,2
598,大衣,dà yī,overcoat,2
599,大自然,dà zì rán,nature,2
600,带,dài,belt,2
601,带来,dài lái,bring,2
602,单位,dānwèi,Company,2
603,但,dàn,but; however,2
604,但是,dàn shì,but; however,2
605,蛋,dàn,egg,2
606,当,dāng,When,2
607,当时,dāngshí,at that time,2
608,倒,dǎo,"fall, topple, fail",2
609,到处,dàochù,everywhere,2
610,倒,dào,"inverted, reverse",2
611,道,dào,road; way; path,2
612,道理,dàolǐ,truth,2
613,道路,dào lù,road; way; path,2
614,得,dé,get,2
615,得出,dé chū,obtain results; reach conclusion,2
616,的话,de huà,if,2
617,得,de,auxiliary verb,2
618,灯,dēng,lamp,2
619,等（助、名）,děng,etc.; and so on,2
620,等到,děng dào,wait until; by the time,2
621,等于,děngyú,Be equal to,2
622,低,dī,low,2
623,地球,dìqiú,earth,2
624,地铁,dìtiě,metro,2
625,地铁站,dì tiě zhàn,subway station,2
626,点头,diǎn tóu,nod,2
627,店,diàn,shop; store,2
628,掉,diào,fall,2
629,东北,dōng běi,northeast,2
630,东方,dōng fāng,east,2
631,东南,dōng nán,southeast,2
632,冬天,dōng tiān,winter,2
633,懂,dǒng,understand,2
634,懂得,dǒng de,know; understand; comprehend,2
635,动物,dòngwù,Animal,2
636,动物园,dòng wù yuán,zoo,2
637,读音,dú yīn,pronunciation,2
638,度,dù,degree; limit,2
639,短,duǎn,short,2
640,短信,duǎnxìn,message,2
641,段,duàn,paragraph,2
642,队,duì,team,2
643,队长,duì zhǎng,team leader; captain,2
644,对（介、动）,duì,to; at; face; be opposite; answer,2
645,对话,duìhuà,dialogue,2
646,对面,duìmiàn,Opposite side,2
647,多（副）,duō,much more; far more,2
648,多久,duō jiǔ,how long,2
649,多么,duōme,what,2
650,多数,duō shù,most; majority,2
651,多云,duō yún,cloudy,2
652,而且,ér qiě,and,2
653,发,fā,send out,2
654,发现,fāxiàn,find,2
655,饭馆,fàn guǎn,restaurant,2
656,方便,fāngbiàn,convenient,2
657,方便面,fāng biàn miàn,Instant noodles,2
658,方法,fāngfǎ,Method,2
659,方面,fāngmiàn,Aspect,2
660,方向,fāngxiàng,direction,2
661,放下,fàng xià,put down; lay down; drop,2
662,放心,fàngxīn,Don't worry,2
663,分（动）,fēn,divide; part; distribute,2
664,分开,fēn kāi,separate; part,2
665,分数,fēn shù,score; mark; fraction,2
666,分钟,fēnzhōng,Minute,2
667,份,fèn,share,2
668,封（量）,fēng,(measure word),2
669,服务,fú wù,service,2
670,复习,fùxí,Review,2
671,该（动）,gāi,deserve; should; owe,2
672,改,gǎi,change; correct; revise; switch,2
673,改变,gǎibiàn,change,2
674,干杯,gānbēi,Cheers!,2
675,感到,gǎn dào,feel; sense,2
676,感动,gǎndòng,Be moved,2
677,感觉,gǎnjué,feel,2
678,感谢,gǎnxiè,Thank,2
679,干活儿,gànhuór,work on a job,2
680,刚,gāng,just,2
681,刚才,gāngcái,just,2
682,刚刚,gāng gāng,just; only; just a moment ago,2
683,高级,gāojí,senior,2
684,高中,gāo zhōng,senior high school,2
685,个子,gèzi,Height,2
686,更,gèng,more,2
687,公共汽车,gōnggòngqìchē,Bus,2
688,公交车,gōng jiāo chē,bus,2
689,公斤,gōngjīn,Kg.,2
690,公里,gōnglǐ,kilometre,2
691,公路,gōng lù,highway; highroad,2
692,公平,gōngpíng,fair,2
693,公司,gōngsī,company,2
694,公园,gōngyuán,Park,2
695,狗,gǒu,Dog,2
696,够,gòu,enough,2
697,故事,gùshi,Story,2
698,故意,gùyì,deliberately,2
699,顾客,gùkè,customer,2
700,关机,guān jī,shutdown,2
701,关心,guānxīn,Care for,2
702,观点,guāndiǎn,viewpoint,2
703,广场,guǎngchǎng,square,2
704,广告,guǎnggào,Advertisement,2
705,国际,guójì,international,2
706,过来,guò lái,come; come over,2
707,过年,guò nián,celebrate the New Year,2
708,过去（动）,guò qù,go over; pass by,2
709,过,guò,cross; pass; spend; live,2
710,海,hǎi,sea,2
711,海边,hǎi biān,seaside,2
712,喊,hǎn,shout,2
713,好（副）,hǎo,well; fine; okay,2
714,好处,hǎochu,benefit,2
715,好多,hǎo duō,many; a lot of,2
716,好久,hǎo jiǔ,for a long time; long,2
717,好人,hǎo rén,good person,2
718,好事,hǎo shì,good deed; good thing,2
719,好像,hǎoxiàng,Be like,2
720,合适,héshì,appropriate,2
721,河,hé,river,2
722,黑,hēi,black,2
723,黑板,hēibǎn,blackboard,2
724,黑色,hēi sè,black,2
725,红,hóng,red,2
726,红色,hóng sè,red,2
727,后来,hòulái,later,2
728,忽然,hūrán,suddenly,2
729,湖,hú,lake,2
730,护照,hùzhào,passport,2
731,花（动）,huā,spend; expend,2
732,花园,huā yuán,garden,2
733,画,huà,painting,2
734,画家,huà jiā,painter; artist,2
735,画儿,huàr,painting; drawing,2
736,坏处,huài chù,disadvantage; harm,2
737,坏人,huài rén,bad person,2
738,欢迎,huānyíng,Welcome,2
739,换,huàn,change,2
740,黄,huáng,yellow,2
741,黄色,huáng sè,yellow,2
742,回（量）,huí,(measure word),2
743,回国,huí guó,return home from abroad,2
744,会（名）,huì,meeting; gathering; conference;  union; party,2
745,活动,huódòng,activity,2
746,或,huò,or,2
747,或者,huòzhě,perhaps,2
748,机会,jīhuì,Opportunity,2
749,鸡,jī,chicken,2
750,级,jí,level; rank; grade; degree; step,2
751,急,jí,fast; anxious; urgent; annoyed,2
752,计划,jìhuà,plan,2
753,计算机,jì suàn jī,computer,2
754,加,jiā,add; increase; put in,2
755,加油,jiā yóu,oil; refuel; make an all -out  effort,2
756,家（科学家）,jiā,noun suffix (scientist),2
757,家庭,jiātíng,Family,2
758,家长,jiā zhǎng,parent; the head of the family,2
759,假,jiǎ,false,2
760,假期,jià qī,holiday; vacation,2
761,检查,jiǎnchá,inspect; check,2
762,见到,jiàn dào,see,2
763,见过,jiàn guò,seen; have seen,2
764,件,jiàn,piece,2
765,健康,jiànkāng,Healthy,2
766,讲,jiǎng,speak,2
767,讲话,jiǎng huà,speak; talk,2
768,交,jiāo,hand over,2
769,交给,jiāo gěi,hand over,2
770,交朋友,jiāo péng yǒu,make friends,2
771,交通,jiāotōng,traffic,2
772,角,jiǎo,horn,2
773,角度,jiǎodù,angle,2
774,饺子,jiǎozi,Dumplings,2
775,脚,jiǎo,foot,2
776,叫作,jiào zuò,be called; be known as,2
777,教师,jiào shī,teacher,2
778,教室,jiàoshì,Classroom,2
779,教学,jiào xué,teach,2
780,教育,jiàoyù,education,2
781,接,jiē,meet， pick,2
782,接到,jiē dào,receive,2
783,接受,jiēshòu,accept,2
784,接下来,jiē xià lái,next,2
785,接着,jiēzhe,Next,2
786,街,jiē,street,2
787,节（名、量）,jié,festival; holiday; joint; (measure  word),2
788,节目,jiémù,program,2
789,节日,jiérì,festival,2
790,结果,jiéguǒ,Result,2
791,借,jiè,borrow,2
792,斤,jīn,a unit of weight (=,2
793,今后,jīn hòu,from now on; in the future,2
794,进入,jìn rù,enter; go in; join,2
795,进行,jìnxíng,Conduct,2
796,近,jìn,near,2
797,经常,jīngcháng,Often,2
798,经过,jīngguò,"after, through",2
799,经理,jīnglǐ,manager,2
800,酒,jiǔ,alcohol; liqueur,2
801,酒店,jiǔ diàn,hotel,2
802,就要,jiù yào,be going to; be about to,2
803,举,jǔ,lift,2
804,举手,jǔ shǒu,raise one's hand or hands,2
805,举行,jǔxíng,hold,2
806,句,jù,sentence,2
807,句子,jùzi,sentence,2
808,卡,kǎ,card,2
809,开机,kāi jī,starting up,2
810,开心,kāixīn,Happy,2
811,开学,kāi xué,school opens; term begins,2
812,看法,kànfǎ,view,2
813,考生,kǎo shēng,examinee,2
814,靠,kào,lean,2
815,科,kē,subject; family; section,2
816,科学,kēxué,science,2
817,可爱,kě'ài,Lovely,2
818,可能,kěnéng,Probably,2
819,可怕,kěpà,dreadful,2
820,可是,kěshì,however,2
821,可以,kěyǐ,Sure,2
822,克,kè,gram,2
823,刻（量）,kè,a quarter (of an hour),2
824,客人,kèrén,Guest,2
825,课堂,kè táng,classroom,2
826,空气,kōngqì,atmosphere,2
827,哭,kū,cry,2
828,快餐,kuài cān,fast food,2
829,快点儿,kuài diǎnr,hurry up,2
830,快乐,kuàilè,happy,2
831,快要,kuài yào,be about to; be going to,2
832,筷子,kuàizi,chopsticks,2
833,拉,lā,pull,2
834,来自,láizì,Come from,2
835,蓝,lán,blue,2
836,蓝色,lán sè,blue,2
837,篮球,lán qiú,basketball,2
838,老（副）,lǎo,always; constantly,2
839,老（老王）,lǎo  （ lǎo wáng ）,noun prefix (Lao Wang),2
840,老年,lǎo nián,elderly,2
841,老朋友,lǎo péng yǒu,old friend,2
842,老是,lǎo shì,always; all times,2
843,离,lí,leave,2
844,离开,líkāi,leave,2
845,礼物,lǐwù,gift,2
846,里头,lǐ,tou inside,2
847,理想,lǐxiǎng,ideal,2
848,例如,lìrú,for example,2
849,例子,lì zi,example,2
850,脸,liǎn,face,2
851,练,liàn,practice; train,2
852,练习,liànxí,Practice,2
853,凉,liáng,cool,2
854,凉快,liángkuai,Pleasantly cool,2
855,两（量）,liǎng,a unit of weight (=,2
856,亮,liàng,bright,2
857,辆,liàng,Car (measure word),2
858,零下,líng xià,below zero,2
859,留,liú,stay,2
860,留下,liú xià,stay; remain,2
861,留学生,liú xué shēng,student studying abroad;  returned student,2
862,流,liú,flow; spread,2
863,流利,liúlì,fluent,2
864,流行,liúxíng,Popular,2
865,路边,lù biān,roadside; wayside,2
866,旅客,lǚ kè,passenger; traveler,2
867,旅行,lǚxíng,travel,2
868,旅游,lǚyóu,Tourism,2
869,绿,lǜ,green,2
870,绿色,lǜ sè,green,2
871,卖,mài,sell,2
872,满,mǎn,full,2
873,满意,mǎnyì,Satisfied,2
874,猫,māo,cat,2
875,米（量）,mǐ,meter,2
876,面¹（名、量）,miàn ¹,(measure word); side; aspect,2
877,面²（名）,miàn ²,face; surface; outside; side;  scale; flour,2
878,面前,miàn qián,in front of; before,2
879,名,míng,name,2
880,名称,míng chēng,name; designation,2
881,名单,míng dān,list,2
882,明星,míngxīng,Star,2
883,目的,mùdì,objective,2
884,拿出,ná chū,take out,2
885,拿到,ná dào,get,2
886,那（连）,nà,then; in that case,2
887,那会儿,nà huìr,at that time; then,2
888,那么,nà,me like that; in that way,2
889,那时候｜那时,nà shí,hou ｜ nà shí at that time,2
890,那样,nà yàng,that kind; like that; such,2
891,南方,nán fāng,south,2
892,难过,nánguò,Sorry,2
893,难看,nán kàn,ugly,2
894,难受,nánshòu,Uncomfortable,2
895,难题,nán tí,problem; difficult problem;  puzzle,2
896,难听,nán tīng,unpleasant to hear,2
897,能够,néng gòu,be able to; can,2
898,年级,niánjí,grade,2
899,年轻,niánqīng,Young,2
900,鸟,niǎo,bird,2
901,弄,nòng,"get, make",2
902,努力,nǔlì,Strive,2
903,爬,pá,climb; creep; scramble,2
904,爬山,páshān,Mountain climbing,2
905,怕（动）,pà,be afraid; fear; dread,2
906,排（名、量）,pái,row; line,2
907,排队,páiduì,queue; stand in a line,2
908,排球,pái qiú,volleyball,2
909,碰,pèng,"touch, meet",2
910,碰到,pèng dào,meet; run into; bump into,2
911,碰见,pèng jiàn,meet; run into; bump into,2
912,篇,piān,piece,2
913,便宜,piányi,Cheap,2
914,片,piàn,slice,2
915,漂亮,piàoliang,Well done!； beautiful,2
916,平,píng,flat,2
917,平安,píng'ān,sound and safe,2
918,平常,píngcháng,Usual,2
919,平等,píngděng,equality,2
920,平时,píngshí,peacetime,2
921,瓶,píng,bottle,2
922,瓶子,píngzi,Bottle,2
923,普通,pǔ tōng,ordinary; general; average;  common,2
924,普通话,pǔtōnghuà,Mandarin,2
925,其他,qítā,Other,2
926,其中,qízhōng,among,2
927,骑,qí,ride,2
928,骑车,qí chē,cycle,2
929,起飞,qǐfēi,take off,2
930,气,qì,air; gas; breath,2
931,气温,qì wēn,air temperature,2
932,千,qiān,thousand,2
933,千克,qiān kè,kilogram,2
934,前年,qián nián,the year before last,2
935,墙,qiáng,wall,2
936,青年,qīng nián,youth; young,2
937,青少年,qīngshàonián,Teenagers,2
938,轻,qīng,light,2
939,清楚,qīngchu,clear,2
940,晴,qíng,Sunny,2
941,晴天,qíng tiān,sunny day,2
942,请客,qǐng kè,stand treat; entertain,2
943,请求,qǐngqiú,request,2
944,秋天,qiū tiān,fall; autumn,2
945,求,qiú,request; beg; entreat; beseech,2
946,球场,qiú chǎng,court; field,2
947,球队,qiú duì,team,2
948,球鞋,qiú xié,sneakers; gym shoes,2
949,取,qǔ,take,2
950,取得,qǔ dé,acquire; gain; obtain,2
951,全,quán,whole; entire; complete,2
952,全部,quánbù,whole,2
953,全国,quán guó,nationwide; entire country,2
954,全家,quán jiā,whole family,2
955,全年,quán nián,annual; yearly,2
956,全身,quán shēn,whole body,2
957,全体,quán tǐ,all; entire; whole,2
958,然后,ránhòu,Then,2
959,让,ràng,Give Way,2
960,热情,rèqíng,Enthusiasm,2
961,人口,rénkǒu,population,2
962,人们,rén men,people,2
963,人数,rén shù,number of people,2
964,认为,rènwéi,think,2
965,日报,rì bào,"daily, journal",2
966,日子,rìzi,"life, days",2
967,如果,rúguǒ,If,2
968,入口,rùkǒu,Entrance,2
969,商量,shāngliang,discuss,2
970,商人,shāng rén,businessman,2
971,上周,shàng zhōu,last week,2
972,少数,shǎo shù,small number; few; minority,2
973,少年,shào nián,juvenile; young person,2
974,身边,shēn biān,at [by] one's side,2
975,什么样,shén,me yàng what kind,2
976,生（动）,shēng,give birth; be born,2
977,生词,shēng cí,new word,2
978,生活,shēnghuó,Life,2
979,声音,shēngyīn,voice,2
980,省（名）,shěng,province,2
981,省（动）,shěng,economize; save; omit; leave  out,2
982,十分,shífēn,very,2
983,实际,shíjì,Actual,2
984,实习,shíxí,Internship,2
985,实现,shíxiàn,Realization,2
986,实在,shízài,real; indeeed,2
987,实在,shízai,done carefully,2
988,食物,shíwù,food,2
989,使用,shǐyòng,Use,2
990,市,shì,city,2
991,市长,shì zhǎng,mayor,2
992,事情,shìqing,Thing,2
993,收,shōu,collect,2
994,收到,shōu dào,receive; obtain,2
995,收入,shōurù,income,2
996,手表,shǒubiǎo,Wrist Watch,2
997,受到,shòudào,Suffer,2
998,舒服,shūfu,comfortable,2
999,熟,shú,ripe; cooked; familiar; skilled,2
1000,数,shǔ,to count,2
1001,数字,shùzì,number,2
1002,水平,shuǐpíng,level,2
1003,顺利,shùnlì,smoothly,2
1004,说明,shuōmíng,Explain,2
1005,司机,sījī,Driver,2
1006,送到,sòng dào,sent to (place),2
1007,送给,sòng gěi,give to (somebody or  organization),2
1008,算,suàn,count; calculate,2
1009,虽然,suī rán,although; though,2
1010,随便,suíbiàn,casual,2
1011,随时,suíshí,at any time,2
1012,所以,suǒ yǐ,so,2
1013,所有,suǒyǒu,All,2
1014,它,tā,it,2
1015,它们,tā men,they,2
1016,太太,tàitai,Ma'am,2
1017,太阳,tàiyáng,sun,2
1018,态度,tàidu,attitude,2
1019,讨论,tǎolùn,discuss,2
1020,套,tào,set,2
1021,特别,tèbié,Especially,2
1022,特点,tèdiǎn,Characteristic,2
1023,疼,téng,hurt,2
1024,提,tí,carry,2
1025,提出,tí chū,put forward; propose; raise,2
1026,提到,tí dào,mention; refer to,2
1027,提高,tígāo,"increase, promote",2
1028,题,tí,topic,2
1029,体育,tǐyù,Sports,2
1030,体育场,tǐ yù chǎng,stadium,2
1031,体育馆,tǐ yù guǎn,stadium; gymnasium; gym,2
1032,天上,tiān shàng,the sky; heaven,2
1033,条,tiáo,strip,2
1034,条件,tiáojiàn,condition,2
1035,听讲,tīng jiǎng,attend a lecture; listen to a talk,2
1036,听说,tīng shuō,be told; hear of,2
1037,停,tíng,Stop,2
1038,停车,tíng chē,park,2
1039,停车场,tíng chē chǎng,parking lot,2
1040,挺（副）,tǐng,very; quite; pretty; rather,2
1041,挺好,tǐng hǎo,very good; not half bad,2
1042,通,tōng,through; common; all;  understand; expert,2
1043,通过,tōngguò,adopt,2
1044,通知,tōngzhī,notice,2
1045,同时,tóngshí,meanwhile,2
1046,同事,tóngshì,Colleague,2
1047,同样,tóng yàng,same,2
1048,头（名、量）,tóu,head; beginning or end; side;  (measure word),2
1049,头（里头）,tóu,suffix (inside),2
1050,头发,tóufa,Hair,2
1051,图片,tú piàn,picture; photograph,2
1052,推,tuī,push,2
1053,腿,tuǐ,leg,2
1054,外地,wài dì,other places; nonlocal,2
1055,外卖,wài mài,takeaway; take out,2
1056,完,wán,finish,2
1057,完成,wánchéng,complete,2
1058,完全,wánquán,completely,2
1059,晚安,wǎn ān,good night,2
1060,晚报,wǎn bào,evening paper; evening news,2
1061,晚餐,wǎn cān,dinner; supper,2
1062,晚会,wǎn huì,evening party,2
1063,碗,wǎn,bowl,2
1064,万,wàn,ten thousand,2
1065,网,wǎng,net; network,2
1066,网球,wǎngqiú,Tennis,2
1067,网站,wǎngzhàn,website,2
1068,往,wǎng,to,2
1069,为,wèi,by,2
1070,为什么,wèishénme,Why,2
1071,位,wèi,person (measure word),2
1072,味道,wèidào,taste,2
1073,喂（叹）,wèi,hello; hey,2
1074,温度,wēndù,temperature,2
1075,闻,wén,smell,2
1076,问路,wèn lù,ask for directions,2
1077,问题,wèntí,problem,2
1078,午餐,wǔ cān,lunch,2
1079,午睡,wǔ shuì,nap,2
1080,西北,xī běi,northwest,2
1081,西餐,xī cān,western food,2
1082,西方,xī fāng,west,2
1083,西南,xī nán,southwest,2
1084,西医,xī yī,western medicine,2
1085,习惯,xíguàn,Habit,2
1086,洗衣机,xǐ yī jī,washing machine,2
1087,洗澡,xǐzǎo,Take a shower,2
1088,下（量）,xià,(measure word),2
1089,下雪,xià xuě,snow; snowing,2
1090,下周,xià zhōu,next week,2
1091,夏天,xià tiān,summer,2
1092,相同,xiāngtóng,identical,2
1093,相信,xiāngxìn,believe,2
1094,响,xiǎng,loud,2
1095,想到,xiǎng dào,think of; call to mind; have at  heart,2
1096,想法,xiǎng fǎ,idea; opinion;thought,2
1097,想起,xiǎng qǐ,remember; recall; think of; call,2
1098,向,xiàng,towards,2
1099,相机,xiàng jī,camera,2
1100,像（动）,xiàng,be like; resemble; look like; such  as,2
1101,小（小王）,xiǎo  （ xiǎo wáng  ）,prefix (Xiao Wang),2
1102,小声,xiǎo shēng,in a low voice; in whispers,2
1103,小时候,xiǎo shí,hou in one's childhood; when one  was young,2
1104,小说,xiǎoshuō,Novel,2
1105,小心,xiǎoxīn,Look out,2
1106,小组,xiǎo zǔ,group,2
1107,校园,xiào yuán,campus; schoolyard,2
1108,校长,xiàozhǎng,Principal,2
1109,笑话,xiàohua,joke,2
1110,笑话儿,xiào huàr,joke,2
1111,鞋,xié,shoes,2
1112,心里,xīn lǐ,in the heart; at heart,2
1113,心情,xīnqíng,mood,2
1114,心中,xīn zhōng,in the heart; at heart; in mind,2
1115,新闻,xīnwén,news,2
1116,信（名）,xìn,letter; mail; faith,2
1117,信号,xìnhào,signal,2
1118,信息,xìnxī,information,2
1119,信心,xìnxīn,confidence,2
1120,信用卡,xìnyòngkǎ,Credit card,2
1121,星星,xīng,xing star,2
1122,行动,xíngdòng,Get some action,2
1123,行人,xíngrén,pedestrian,2
1124,行为,xíngwéi,behavior,2
1125,姓,xìng,surname,2
1126,姓名,xìng míng,full name,2
1127,休假,xiū jià,have a holiday; take a vacation;  be on furlough,2
1128,许多,xǔduō,many,2
1129,选,xuǎn,choose; select; pick,2
1130,学期,xuéqī,Semester,2
1131,雪,xuě,Snow,2
1132,颜色,yánsè,colour,2
1133,眼,yǎn,eye,2
1134,眼睛,yǎnjing,Eye,2
1135,养,yǎng,raise; keep; support; cultivate,2
1136,样子,yàngzi,A look,2
1137,要求,yāoqiú,Requirement,2
1138,药,yào,drug,2
1139,药店,yào diàn,pharmacy,2
1140,药片,yào piàn,pill,2
1141,药水,yào shuǐ,liquid medicine; potion,2
1142,也许,yěxǔ,perhaps,2
1143,夜,yè,night,2
1144,夜里,yè lǐ,at night,2
1145,一部分,yí bù fèn,a part; a portion,2
1146,一定,yídìng,Certain,2
1147,一共,yígòng,Altogether,2
1148,一会儿（副）,yí huìr,awhile; in a moment; presently,2
1149,一路平安,yí lù píng ān,safe journey; have a pleasant  journey,2
1150,一路顺风,yí lù shùn fēng,Bon voyage,2
1151,已经,yǐjīng,Already,2
1152,以后,yǐ hòu,after; later on; afterwards; later,2
1153,以前,yǐqián,before,2
1154,以上,yǐ shàng,above; over,2
1155,以外,yǐ wài,beyond; outside; other than;  except,2
1156,以为,yǐwéi,Think,2
1157,以下,yǐ xià,below; under,2
1158,椅子,yǐzi,Chair,2
1159,一般,yìbān,commonly,2
1160,一点点,yì diǎn diǎn,a little bit,2
1161,一生,yì shēng,lifetime; all one's life,2
1162,一直,yìzhí,always,2
1163,亿,yì,Billion,2
1164,意见,yìjiàn,Opinion,2
1165,意思,yìsi,Meaning,2
1166,因为,yīn wèi,because,2
1167,阴,yīn,Yin,2
1168,阴天,yīn tiān,cloudy day; overcast sky,2
1169,音节,yīn jié,syllable,2
1170,音乐,yīnyuè,Music,2
1171,音乐会,yīn yuè huì,concert,2
1172,银行,yínháng,Bank,2
1173,银行卡,yín háng kǎ,bank card,2
1174,应该,yīnggāi,Should,2
1175,英文,yīng wén,English,2
1176,英语,yīng yǔ,English,2
1177,影片,yǐng piàn,film; movie,2
1178,影响,yǐngxiǎng,Influence,2
1179,永远,yǒngyuǎn,forever,2
1180,油,yóu,oil; fat; grease,2
1181,游客,yóu kè,tourist; visitor,2
1182,友好,yǒuhǎo,friendly,2
1183,有空儿,yǒu kòngr,be free; at leisure,2
1184,有人,yǒu rén,someone; there's someone,2
1185,有（一）点儿,yǒu （ yì ）  diǎnr,a little bit,2
1186,有意思,yǒu yì,si interesting; significant,2
1187,又,yòu,also,2
1188,鱼,yú,fish,2
1189,语言,yǔyán,language,2
1190,原来,yuánlái,Original; formerly,2
1191,原因,yuányīn,Reason,2
1192,院,yuàn,yard; compound; courtyard;  college,2
1193,院长,yuàn zhǎng,dean,2
1194,院子,yuàn zi,courtyard; yard,2
1195,愿意,yuànyì,Be willing,2
1196,月份,yuè fèn,month,2
1197,月亮,yuèliang,Moon,2
1198,越,yuè,The more,2
1199,越来越,yuè lái yuè,more and more,2
1200,云,yún,cloud,2
1201,运动,yùndòng,motion,2
1202,咱,zán,we; us,2
1203,咱们,zánmen,We,2
1204,脏,zāng,dirty,2
1205,早餐,zǎo cān,breakfast,2
1206,早晨,zǎo chén,morning,2
1207,早就,zǎo jiù,long since,2
1208,怎么办,zěn,me bàn how to; what to do,2
1209,怎么样,zěnmeyàng,How about,2
1210,怎样,zěn yàng,how,2
1211,占,zhàn,occupy,2
1212,站（动）,zhàn,stand; stop; halt,2
1213,站住,zhàn zhù,stop; halt,2
1214,长,zhǎng,grow,2
1215,长大,zhǎng dà,grow up,2
1216,找出,zhǎo chū,find out,2
1217,照顾,zhàogù,look after,2
1218,照片,zhàopiàn,Photo,2
1219,照相,zhào xiàng,take a picture; take a,2
1220,这么,zhè,me so; such; this way; like this,2
1221,这时候｜这时,zhè shí,hou ｜ zhè shí at this moment; at this time,2
1222,这样,zhè yàng,so; such; like this; this way,2
1223,真正,zhēnzhèng,real,2
1224,正常,zhèngcháng,normal,2
1225,正好,zhènghǎo,Just right,2
1226,正确,zhèngquè,Correct,2
1227,正是,zhèng shì,exactly,2
1228,直接,zhíjiē,direct,2
1229,只,zhǐ,only; just; simply; merely,2
1230,只能,zhǐ néng,can only,2
1231,只要,zhǐyào,as long as,2
1232,纸,zhǐ,paper,2
1233,中餐,zhōng cān,Chinese food,2
1234,中级,zhōng jí,intermediate; middle -level,2
1235,中年,zhōng nián,middle age; middle -aged,2
1236,中小学,zhōng xiǎo xué,elementary and middle school,2
1237,中心,zhōngxīn,core,2
1238,中医,zhōng yī,Chinese Medicine,2
1239,重点,zhòngdiǎn,A key,2
1240,重视,zhòngshì,attach importance to,2
1241,周,zhōu,week,2
1242,周末,zhōumò,Weekend,2
1243,周年,zhōunián,anniversary,2
1244,主人,zhǔrén,master,2
1245,主要,zhǔyào,main,2
1246,住房,zhù fáng,housing; lodging,2
1247,住院,zhù yuàn,be in hospital; be hospitalized,2
1248,装,zhuāng,pretend,2
