Index,Chinese,Pinyin,English,Level
4364,遍地,biàn dì,everywhere; all around,6
4365,表面上,biǎo miàn shàng,superficial; ostensible;  apparent; apparently,6
4366,病房,bìng fáng,ward of a hospital; sickroom,6
4367,病情,bìng qíng,state of an illness; patient's  condition,6
4368,拨打,bō dǎ,dial,6
4369,波动,bō dòng,undulate; fluctuate; surge;  undulation; fluctuation; wave  motion,6
4370,波浪,bōlàng,wave,6
4371,播,bō,broadcast; spread; seed;  sow; move about,6
4372,不便,bú biàn,inconvenient; unsuitable; be  short of cash,6
4373,不见,bú jiàn,not see; not meet,6
4374,不料,búliào,Unexpectedly,6
4375,不再,bú zài,no longer; no more,6
4376,不至于,bú zhì yú,cannot go so far; be unlikely  to,6
4377,补考,bǔ kǎo,makeup examination,6
4378,补课,bǔ kè,make up missed lessons,6
4379,补习,bǔ xí,take lessons after school or  work,6
4380,补助,bǔ zhù,subsidy; subsidize; allowance,6
4381,捕,bǔ,catch; seize; arrest,6
4382,不成,bù chéng,won't do; fail,6
4383,不禁,bùjīn,Can not help but,6
4384,不仅仅,bù jǐn jǐn,not just; not only; more than,6
4385,不通,bù tōng,be blocked up; be  impassable; not make sense;  be illogical,6
4386,不怎么,bù zěn,me not particularly; not very,6
4387,不怎么样,bù zěn,me yàng not up to much; very  indifferent,6
4388,不值,bù zhí,not worth,6
4389,布满,bù mǎn,be full of,6
4390,部队,bù duì,army; armed forces; troop;  unit,6
4391,采纳,cǎinà,accept,6
4392,踩,cǎi,step on,6
4393,参赛,cān sài,take part in match; enter the  competition,6
4394,参展,cān zhǎn,take part in an exhibition;  participate in an exhibition,6
4395,餐,cān,food; meal; eat,6
4396,残疾,cánjí,A disability,6
4397,残疾人,cán jí rén,handicapped; disabled  person,6
4398,残酷,cánkù,cruel,6
4399,惨,cǎn,miserable; wretched; tragic;  cruel; badly,6
4400,仓库,cāngkù,Warehouse,6
4401,藏,cáng,hide; conceal; store; lay by,6
4402,操纵,cāozòng,control,6
4403,厕所,cèsuǒ,Toilet,6
4404,侧,cè,side; incline; lean,6
4405,测定,cè dìng,determine; determination;  measurement,6
4406,策划,cèhuà,plan; hatch; plot,6
4407,策略,cèlüè,tactic; policy,6
4408,层面,céng miàn,level,6
4409,差异,chā yì,difference; divergence;  discrepancy; diversity,6
4410,查出,chá chū,trace; find out; discover; find,6
4411,查看,chá kàn,look over; examine; check,6
4412,拆迁,chāi qiān,demolition; relocation,6
4413,产量,chǎn liàng,output; yield; volume of  production,6
4414,昌盛,chāngshèng,Prosperity,6
4415,长短,cháng duǎn,short and long; length;  accident; extent,6
4416,长假,cháng jià,long holiday; long leave,6
4417,长久,cháng jiǔ,for a long time; muchly,6
4418,长跑,cháng pǎo,long-distance race; long  distance run,6
4419,长远,cháng yuǎn,long-term; long -range;  enduring; chronic,6
4420,常规,cháng guī,conventional; common;  routine,6
4421,常年,cháng nián,perennial; year in year out;  average year,6
4422,厂商,chǎng shāng,manufacturer; firm; factory  owner,6
4423,场地,chǎng dì,space; place; site,6
4424,场馆,chǎng guǎn,venue; stadium,6
4425,场景,chǎng jǐng,scene,6
4426,畅通,chàngtōng,unimpeded; unblocked,6
4427,超,chāo,exceed; surpass; overtake;  go beyond,6
4428,超出,chāo chū,overstep; go beyond; exceed,6
4429,炒,chǎo,fry,6
4430,炒股,chǎo gǔ,invest in stocks,6
4431,炒作,chǎo zuò,hype,6
4432,车号,chē hào,car number; wagon number,6
4433,车牌,chē pái,licence plate; plate number,6
4434,车展,chē zhǎn,auto show; car exhibition,6
4435,撤离,chè lí,withdraw; leave; evacuate,6
4436,撤销,chèxiāo,repeal; retract,6
4437,撑,chēng,prop; support; push with a  pole; keep up; unfurl; brace;  stay,6
4438,成（量）,chéng,(measure word),6
4439,成分,chéngfèn,component,6
4440,成品,chéng pǐn,end product; finish product,6
4441,承诺,chéngnuò,Promise,6
4442,城区,chéng qū,the city proper; urban area;  city subdivision,6
4443,城乡,chéng xiāng,urban and rural; city and  countryside,6
4444,城镇,chéng zhèn,town; city,6
4445,持有,chí yǒu,hold; possess,6
4446,冲击,chōngjī,To attack,6
4447,重建,chóng jiàn,rebuild; reconstruct;  reestablish; rehabilitate;  reconstruction,6
4448,重组,chóng zǔ,reorganization; regroup,6
4449,崇拜,chóngbài,worship,6
4450,宠物,chǒngwù,Pet,6
4451,冲,chōng,punching,6
4452,出场,chū chǎng,come on the stage; enter  the arena,6
4453,出动,chū dòng,dispatch; start off; call out,6
4454,出访,chū fǎng,visit a foreign country,6
4455,出路,chūlù,way out,6
4456,出面,chū miàn,come forward; appear  personally,6
4457,出名,chū míng,famous; well -known,6
4458,出入,chū rù,come in and go out;  discrepancy; divergence,6
4459,出事,chū shì,meet with a mishap; have an  accident,6
4460,出台,chū tái,introduced; be published,6
4461,出行,chū xíng,travel; trip; getting around,6
4462,初等,chū děng,elementary; primary;  rudimentary,6
4463,除,chú,except,6
4464,厨师,chú shī,chef; cook,6
4465,储存,chǔcún,Storage,6
4466,处处,chù chù,everywhere; in all respects,6
4467,处长,chù zhǎng,the head of a department;  section chief,6
4468,传出,chuán chū,efferent; come out; come  through,6
4469,传媒,chuán méi,media,6
4470,传输,chuán shū,transmission; transport,6
4471,传言,chuán yán,hearsay; rumour; pass on a  message,6
4472,船员,chuán yuán,crew; crewman; waterman,6
4473,船长,chuán zhǎng,captain; skipper,6
4474,船只,chuán zhī,ship; vessel; craft,6
4475,串,chuàn,"strand, cluster",6
4476,窗口,chuāng kǒu,window; wicket,6
4477,创办,chuàng bàn,establish; found,6
4478,创建,chuàng jiàn,found; establish; creation,6
4479,创意,chuàng yì,creativity,6
4480,此处,cǐ chù,here; this place,6
4481,此次,cǐ cì,this time,6
4482,此前,cǐ qián,before,6
4483,此事,cǐ shì,this matter,6
4484,此致,cǐ zhì,regards; sincerely; with the  best wishes,6
4485,次数,cì shù,frequency; number of times,6
4486,从不,cóng bù,never; never ever,6
4487,从没,cóng méi,never; never did,6
4488,醋,cù,vinegar,6
4489,村庄,cūn zhuāng,village; hamlet,6
4490,错过,cuò guò,miss; let slip,6
4491,搭,dā,"to match, to take",6
4492,搭档,dādàng,partner,6
4493,搭配,dāpèi,arrange; match,6
4494,打动,dǎ dòng,move; touch,6
4495,打断,dǎ duàn,break; interrupt; fracture,6
4496,打发,dǎ,fa send; dispatch; dismiss,6
4497,打官司,dǎguānsi,To engage in a lawsuit,6
4498,打牌,dǎ pái,play cards; play mah -jong,6
4499,打印机,dǎ yìn jī,printer,6
4500,打造,dǎ zào,build; make; creation,6
4501,大道,dà dào,main road; avenue,6
4502,大街,dà jiē,avenue; street; main street,6
4503,大力,dà lì,energetic; energetically;  vigorously,6
4504,大米,dà mǐ,rice,6
4505,大批,dà pī,large quantity; a smart of;  legion,6
4506,大赛,dà sài,contest,6
4507,大师,dà shī,great master; grandmaster;  master,6
4508,大使,dà shǐ,ambassador; envoy,6
4509,待会儿,dāi huìr,after a while; later,6
4510,担忧,dān yōu,worry; be anxious;  trepidation,6
4511,单打,dān dǎ,singles,6
4512,诞生,dànshēng,Be born,6
4513,党,dǎng,party,6
4514,当,dāng,When,6
4515,当成,dāng chéng,regard; treat as; take,6
4516,当天,dāng tiān,that day,6
4517,当作,dàng zuò,regard as; treat as,6
4518,档,dàng,pigeonhole; files; archives;  crosspiece; grade,6
4519,档案,dàng'àn,archives,6
4520,岛,dǎo,island,6
4521,到期,dào qī,mature; expire; become due;  maturity,6
4522,盗版,dào bǎn,piracy; illegal copy,6
4523,道教,dào jiào,Taoism,6
4524,道歉,dàoqiàn,apologize,6
4525,低头,dī tóu,head down; lower one's  head; submit,6
4526,低温,dī wēn,Low temperature;  hypothermia; microtherm,6
4527,滴,dī,drop,6
4528,抵达,dǐdá,Arrive,6
4529,抵抗,dǐkàng,resistance,6
4530,地板,dì bǎn,floor,6
4531,地名,dì míng,place name,6
4532,地下室,dì xià shì,basement; cellar,6
4533,电车,diàn chē,tram; tramcar; streetcar;  trolleybus; trolley,6
4534,电动,diàn dòng,motor -driven; power -driven;  electric,6
4535,电力,diàn lì,electricity; electric power,6
4536,电器,diàn qì,electric appliance; electrical  equipment,6
4537,吊,diào,crane,6
4538,调研,diào yán,research; investigation,6
4539,跌,diē,fall,6
4540,定价,dìng jià,fix a price; set price; fixed  price; pricing,6
4541,定时,dìng shí,timing; definite time,6
4542,定位,dìng wèi,locate; location; positioning;  registration,6
4543,动画,dòng huà,cartoon; animation,6
4544,斗争,dòuzhēng,Struggle,6
4545,都市,dū shì,metropolis; city,6
4546,毒品,dúpǐn,narcotics,6
4547,赌,dǔ,gamble; bet,6
4548,赌博,dǔbó,gambling,6
4549,渡,dù,cross; ferry; tide over; ferry,6
4550,端,duān,end,6
4551,端午节,uānwǔjié,The Dragon Boat Festival,6
4552,短片,duǎn piàn,short film,6
4553,队伍,duìwu,Ranks,6
4554,对抗,duìkàng,Combat,6
4555,对外,duì wài,foreign; external,6
4556,蹲,dūn,squat,6
4557,多半,duō bàn,most; the greater part;  chiefly; probably,6
4558,多方面,duō fāng miàn,multifaceted; in many  aspects; many -sided,6
4559,多媒体,duō méi tǐ,multimedia,6
4560,夺,duó,seize; snatch; rob; contend  for; deprive; decide,6
4561,夺取,duó qǔ,seize; wrest; strive for;  snatch; taking,6
4562,恩人,ēn rén,benefactor,6
4563,儿科,ér kē,pediatrics; pediatric  department,6
4564,发病,fā bìng,onset; morbidity;  pathogenesis; outbreak; fall,6
4565,发电,fā diàn,generate electricity; power  generation,6
4566,发放,fā fàng,provide; grant; extend; give  out; issue,6
4567,发怒,fā nù,get angry; fly into a rage;  flare up; huff,6
4568,发起,fā qǐ,initiate; sponsor; start;  launch,6
4569,发言人,fā yán rén,spokesman; spokesperson;  addressor; prolocutor,6
4570,发炎,fāyán,inflammation,6
4571,法庭,fǎ tíng,court; tribunal,6
4572,法语,fǎ yǔ,French language,6
4573,番,fān,Some,6
4574,番茄,fān qié,tomato,6
4575,凡是,fánshì,All,6
4576,繁殖,fánzhí,Reproduction,6
4577,反抗,fǎnkàng,Resistance,6
4578,反问,fǎnwèn,rhetorical question,6
4579,反响,fǎn xiǎng,repercussion; echo;  reverberation; reaction,6
4580,犯,fàn,commit; offend; violate;  work against; criminal,6
4581,犯规,fàn guī,foul,6
4582,犯罪,fàn zuì,commit a crime; offense;  crime,6
4583,防范,fáng fàn,be on guard; keep a lookout,6
4584,防守,fángshǒu,Defense,6
4585,房价,fáng jià,house price,6
4586,仿佛,fǎngfú,as if,6
4587,飞船,fēi chuán,spaceship; airship; dirigible;  areoboat; vehicle,6
4588,飞行员,fēi xíng yuán,aviator; pilot,6
4589,肺,fèi,lung,6
4590,分工,fēn gōng,division of labor; divide the  work,6
4591,分裂,fēnliè,division,6
4592,愤怒,fènnù,anger,6
4593,风暴,fēngbào,Storm,6
4594,峰会,fēng huì,summit; summit meeting,6
4595,奉献,fèngxiàn,dedicate,6
4596,佛,fó,Buddha; Buddhism,6
4597,佛教,fó jiào,Buddhism,6
4598,服,fú,clothes; dress; serve; take; be  convinced; be accustomed  to,6
4599,浮,fú,float; swim; superficial;  movable; temporary; pumice,6
4600,父女,fù nǚ,father and daughter,6
4601,父子,fù zǐ,father and son,6
4602,负,fù,negative; load; loss; defeat;  bear; carry; lose; owe,6
4603,妇女,fùnǚ,Woman,6
4604,复苏,fù sū,resuscitate; recovery; come  to; revive,6
4605,副（形）,fù,secondary; auxiliary;  subsidiary,6
4606,副（量）,fù,(measure word),6
4607,富人,fù rén,the rich,6
4608,富有,fù yǒu,rich; wealthy; richness;  abound,6
4609,改装,gǎi zhuāng,repack; refit; reequip,6
4610,干涉,gānshè,interference,6
4611,肝,gān,liver,6
4612,杆,gān,pole; staff,6
4613,赶不上,gǎn bú shàng,can't catch up with; fall  behind; can't keep up,6
4614,赶忙,gǎn máng,hurry; hasten; make haste;  quickly,6
4615,赶上,gǎn shàng,overtake; catch up; emulate;  keep up,6
4616,敢于,gǎn yú,dare to; be bold in; have the  courage to; venture,6
4617,感人,gǎn rén,moving; touching,6
4618,刚好,gāng hǎo,just; exactly; happen to,6
4619,岗位,gǎngwèi,post,6
4620,港口,gǎngkǒu,Port,6
4621,高层,gāo céng,high level; high class; high - rise,6
4622,高档,gāodàng,High-grade,6
4623,高等,gāo děng,higher; advanced; high; of a  higher level,6
4624,高峰,gāofēng,peak,6
4625,高考,gāo kǎo,college entrance  examination,6
4626,高科技,gāo kē jì,high technology; high tech,6
4627,高手,gāo shǒu,master; past master; master,6
4628,稿子,gǎo zi,manuscript; draft; sketch,6
4629,歌唱,gē chàng,sing; singing,6
4630,歌词,gē cí,lyric; lyrics; libretto,6
4631,歌星,gē xīng,singer; singing star,6
4632,革新,gé xīn,innovation; renovation,6
4633,更是,gèng shì,more; even more,6
4634,工商,gōng shāng,industry and commerce,6
4635,公,gōng,public; fair; impartial; male;  public affairs; make public,6
4636,公安,gōng ān,public security; police;  ministry of public security,6
4637,公鸡,gōng jī,cock; rooster,6
4638,公众,gōng zhòng,public,6
4639,公主,gōngzhǔ,princess,6
4640,攻击,gōngjī,attack,6
4641,供给,gōngjǐ,supply,6
4642,宫,gōng,palace; temple; uterus; place  for recreation,6
4643,巩固,gǒnggù,consolidate,6
4644,贡献,gòngxiàn,contribution,6
4645,构建,gòu jiàn,structure; construct,6
4646,孤独,gūdú,lonely,6
4647,孤儿,gū ér,orphan,6
4648,姑姑,gūgu,aunt,6
4649,古典,gǔdiǎn,classical,6
4650,股,gǔ,thigh; portion; share; strand,6
4651,股东,gǔdōng,stockholder,6
4652,股票,gǔpiào,shares; stock,6
4653,故障,gùzhàng,fault,6
4654,顾,gù,look at; look after; attend;  turn around and look at,6
4655,刮,guā,scratch; shave; fleece; extort;  blow; shaving,6
4656,拐,guǎi,abduct; kidnap; turn; crutch,6
4657,关爱,guān ài,care; caring,6
4658,关联,guān lián,relevance; relevancy; be  related; be connected; be  linked,6
4659,观光,guānguāng,Sightseeing,6
4660,官司,guān,si lawsuit,6
4661,管道,guǎn dào,pipeline; channel; tunnel;  piping; tubing,6
4662,光辉,guānghuī,Glory,6
4663,广阔,guǎngkuò,wide,6
4664,轨道,guǐdào,track,6
4665,跪,guì,kneel,6
4666,国产,guó chǎn,domestic; made in one's  country,6
4667,国歌,guó gē,national anthem,6
4668,国会,guó huì,parliament ; congress,6
4669,国旗,guó qí,national flag,6
4670,国王,guówáng,king,6
4671,果酱,guǒ jiàng,jam; squish; marmalade,6
4672,果树,guǒ shù,fruiter; fruit tree,6
4673,过渡,guòdù,transition,6
4674,过后,guò hòu,afterwards; later; after,6
4675,过时,guò shí,obsolete; outdate; outmode;  out of style,6
4676,海报,hǎi bào,poster; playbill,6
4677,海底,hǎi dǐ,seabed ; seafloor,6
4678,海军,hǎi jūn,navy,6
4679,海浪,hǎi làng,sea wave,6
4680,海外,hǎi wài,overseas; abroad,6
4681,海湾,hǎi wān,bay; gulf,6
4682,海洋,hǎiyáng,ocean,6
4683,好（不）容 易,hǎo （bù） róng yì,with great difficulty; have a  hard time (doing sth.),6
4684,好似,hǎo sì,seem; be like,6
4685,好转,hǎo zhuǎn,get better; improve,6
4686,好学,hào xué,studious; fond of learning,6
4687,合约,hé yuē,treaty; contract;  arrangement; deal,6
4688,和谐,héxié,Harmonious,6
4689,核心,héxīn,core,6
4690,黑夜,hēi yè,night,6
4691,很难说,hěn nán shuō,hard to say,6
4692,狠,hěn,ruthless; relentless; firm;  resolute; suppress; harden,6
4693,横,héng,harsh and unreasonable;  perverse,6
4694,衡量,héng liáng,weigh; measure; scale;  weight,6
4695,宏大,hóng dà,grand; great,6
4696,洪水,hóngshuǐ,Flood,6
4697,忽略,hūlüè,ignore,6
4698,壶,hú,pot,6
4699,互动,hù dòng,interactive; interaction,6
4700,户外,hù wài,outdoor,6
4701,护,hù,protect; shield,6
4702,花费,huā fèi,spend; expend; cost;  spending,6
4703,花瓶,huā píng,vase; jardiniere,6
4704,花生,huāshēng,peanut,6
4705,化解,huà jiě,resolve; dissolve; defuse;  solution,6
4706,幻想,huànxiǎng,fantasy,6
4707,患者,huànzhě,Patient,6
4708,皇帝,huángdì,Emperor,6
4709,回应,huí yìng,response; respond,6
4710,毁,huǐ,destroy; ruin; damage;  defame,6
4711,会见,huì jiàn,meet with; pay a visit,6
4712,会长,huì zhǎng,president; chairman;  president of an organization,6
4713,绘画,huì huà,paint; draw; drawing;  painting,6
4714,昏,hūn,faint; lose consciousness;  dusk; twilight; dull; muddle - headed,6
4715,混,hùn,mix; confuse; pass off;  muddle along; get along  with sb.,6
4716,混合,hùnhé,blend,6
4717,混乱,hùnluàn,confusion,6
4718,活跃,huóyuè,active,6
4719,火箭,huǒjiàn,rocket,6
4720,机动车,jī dòng chē,motor vehicle,6
4721,机关,jī guān,mechanism; gear; machine - operated; office; organ;  intrigue,6
4722,机械,jīxiè,Mechanics,6
4723,基督教,jī dū jiào,Christianity; the Christian  religion; Christian,6
4724,激情,jīqíng,Passion,6
4725,吉利,jí lì,lucky; auspicious; propitious,6
4726,吉祥,jíxiáng,lucky; auspicious,6
4727,极端,jíduān,extreme,6
4728,急救,jí jiù,first aid; emergency  treatment,6
4729,疾病,jíbìng,disease,6
4730,集,jí,gather; collect; collection;,6
4731,给予,jǐyǔ,give,6
4732,加盟,jiā méng,join,6
4733,家电,jiā diàn,home appliances,6
4734,家园,jiā yuán,home; homeland;  homestead,6
4735,嘉宾,jiābīn,Distinguished guest,6
4736,假日,jià rì,holiday,6
4737,尖,jiān,pointed; shrill; sharp; acute;  point; tip; top,6
4738,监测,jiān cè,monitor,6
4739,监督,jiāndū,supervise,6
4740,捡,jiǎn,pick up,6
4741,简介,jiǎn jiè,brief introduction; synopsis;  summary,6
4742,剑,jiàn,sword,6
4743,鉴定,jiàndìng,Appraisal,6
4744,箭,jiàn,arrow,6
4745,将军,jiāngjūn,General,6
4746,讲课,jiǎng kè,teach; lecture,6
4747,酱,jiàng,sauce; paste; jam; thick  sauce,6
4748,酱油,jiàngyóu,soy sauce,6
4749,骄傲,jiāo'ào,Proud,6
4750,焦点,jiāodiǎn,focus,6
4751,脚印,jiǎo yìn,footprint; footmark; track,6
4752,觉,jiào,sleep,6
4753,教堂,jiào táng,church; cathedral; chapel,6
4754,教育部,jiào yù bù,Ministry of Education,6
4755,接收,jiē shōu,receive; accept; take over;  admit,6
4756,揭,jiē,tear off; take off; uncover;  lift; expose; show up; bring  to light,6
4757,街头,jiē tóu,street,6
4758,节（动）,jié,economize; save; abridge,6
4759,节假日,jié jià rì,holidays; festival and holiday,6
4760,节能,jié néng,energy conservation; energy  saving,6
4761,节奏,jiézòu,rhythm,6
4762,杰出,jiéchū,outstanding,6
4763,截止,jiézhǐ,due,6
4764,截至,jiézhì,By (time）,6
4765,解,jiě,separate; divide; untie; allay;,6
4766,解说,jiě shuō,explain orally; comment;  definition; narrate,6
4767,界,jiè,boundary; scope; extent;  kingdom; group; bound,6
4768,界（文艺 界）,jiè （wén yì jiè ）,circles; world (circle of  literature and art),6
4769,借鉴,jièjiàn,take example by,6
4770,金额,jīn é,money; sum; amount,6
4771,金钱,jīn qián,money,6
4772,金融,jīnróng,Finance,6
4773,尽,jìn,exhaust; finish; to the limit;  use up; exhaust,6
4774,进攻,jìngōng,attack,6
4775,近日,jìn rì,recently; in the past few days,6
4776,近视,jìn shì,myopia; short sight,6
4777,惊人,jīng rén,astonishing; amazing;  alarming,6
4778,惊喜,jīng xǐ,surprise; pleasantly surprised,6
4779,精,jīng,skilled; refined; excellent;  precise; smart; sharp;  essence; energy,6
4780,精美,jīng měi,exquisite; elegant; fineness;  refineness,6
4781,精品,jīng pǐn,boutique,6
4782,井,jǐng,well,6
4783,景,jǐng,view; scenery; scene;  situation; admire; revere,6
4784,景点,jǐng diǎn,attractions; scenic spot,6
4785,净,jìng,clean; empty; net; cleanse;  wash; only; merely,6
4786,纠纷,jiūfēn,dissension; tangle,6
4787,纠正,jiūzhèng,correct,6
4788,酒水,jiǔ shuǐ,drinks; beverage; booze,6
4789,救命,jiù mìng,help; save life,6
4790,救援,jiù yuán,rescue; succor; support,6
4791,救助,jiù zhù,succour; salvation; help sb.  in danger or difficulty,6
4792,就是说,jiù shì shuō,that is; in other words;  namely,6
4793,就算,jiù suàn,even if; granted that,6
4794,局（量）,jú,(measure word),6
4795,剧,jù,theatrical work; drama; play;  opera; acute; severe; intense,6
4796,据,jù,according to; seize; depend  on; evidence,6
4797,捐,juān,Donate,6
4798,捐款,juān kuǎn,donate; donation; donate  money; contribute funds,6
4799,捐赠,juān zèng,contribute; donate; present,6
4800,捐助,juān zhù,offer; contribute; donate;  donation,6
4801,决策,juécè,make policy,6
4802,觉悟,juéwù,consciousness,6
4803,绝,jué,cut off; exhausted;  desperate; unique;  extremely; most; absolutely,6
4804,绝大多数,jué dà duō shù,most of; overwhelming  majority,6
4805,军队,jūnduì,army,6
4806,军舰,jūn jiàn,warship; military naval ship,6
4807,军事,jūnshì,Military,6
4808,开创,kāi chuàng,start; initiate; begin,6
4809,开关,kāi guān,switch; power switch,6
4810,开设,kāi shè,open; set up; establish; offer,6
4811,开通,kāi tōng,open; clear; dredge; open -,6
4812,开头,kāi tóu,begin; start; beginning,6
4813,开夜车,kāi yè chē,drive at night; work at night;  work late into the night,6
4814,看,kàn,see,6
4815,看管,kān guǎn,look after; guard; watch;  attend,6
4816,看得见,kàn de jiàn,visible; noticeable,6
4817,看得起,kàn de qǐ,think highly of; have a good  opinion of,6
4818,看好,kàn hǎo,look to further increase;  optimistic about,6
4819,看作,kàn zuò,see; regard as; look upon,6
4820,康复,kāng fù,recovery; rehabilitation,6
4821,抗议,kàngyì,Protest,6
4822,考场,kǎo chǎng,examination hall;  examination room,6
4823,考题,kǎo tí,examination questions;  examination paper,6
4824,科研,kē yán,research; scientific research,6
4825,客车,kè chē,bus; coach,6
4826,肯,kěn,agree; consent; be willing to;,6
4827,空军,kōng jūn,air force; air service,6
4828,口试,kǒu shì,oral examination; oral test,6
4829,扣,kòu,button,6
4830,酷,kù,cool; cruel; brutal;  oppressive; very; extremely,6
4831,跨,kuà,Cross,6
4832,快车,kuài chē,express train; express bus,6
4833,宽阔,kuān kuò,broad; wide; expanse;  spacious,6
4834,矿,kuàng,mine; ore,6
4835,阔,kuò,wide; broad; rich; vast;  wealthy,6
4836,啦,la,auxiliary word,6
4837,来往,lái wǎng,contact; dealing; intercourse;  come and go,6
4838,赖,lài,rely; poor; bilk ; disclaim,6
4839,栏目,lánmù,column,6
4840,蓝领,lán lǐng,blue-collar worker; blue  collar,6
4841,蓝天,lán tiān,blue sky,6
4842,懒,lǎn,lazy,6
4843,牢,láo,fold; pen; prison; jail; durable,6
4844,老乡,lǎo xiāng,fellow -villager; fellow - townsma,6
4845,冷气,lěng qì,air conditioning; cool air,6
4846,冷水,lěng shuǐ,cold water; unboiled water,6
4847,礼堂,lǐ táng,hall; assembly hall;  auditorium,6
4848,理,lǐ,reason; truth; texture; to  manage,6
4849,理财,lǐ cái,manage finances; conduct  financial transactions,6
4850,理智,lǐzhì,reasonable,6
4851,力（影响 力）,lì （yǐng xiǎng lì ）,ability; capability (influence),6
4852,利,lì,sharp; favourable;  advantage; benefit; profit;  interest,6
4853,联盟,liánméng,union,6
4854,联赛,lián sài,league,6
4855,联手,lián shǒu,join hands,6
4856,凉鞋,liáng xié,sandal,6
4857,两侧,liǎng cè,both sides; two flanks,6
4858,两手,liǎng shǒu,two hands; dual tactics,6
4859,聊,liáo,merely; just; a little; slightly;  chat; rely on,6
4860,聊天儿,liáo tiānr,chat,6
4861,料（动）,liào,expect; anticipate; guess,6
4862,料（名）,liào,material; feed; stuff; grain,6
4863,裂,liè,crack; split; flaw,6
4864,灵活,línghuó,flexible,6
4865,领取,lǐng qǔ,draw; receive; pull down,6
4866,领袖,lǐngxiù,leader,6
4867,另,lìng,another; other; separately,6
4868,留言,liú yán,leave a message; leave  comments,6
4869,流感,liú gǎn,flu; influenza,6
4870,楼道,lóu dào,corridor,6
4871,楼房,lóu fáng,building; storied building,6
4872,露,lòu,reveal; show,6
4873,陆军,lù jūn,army; ground force; land  force,6
4874,录像,lù xiàng,video; video tape,6
4875,录音机,lù yīn jī,recorder; sound recorder;  transcription machine,6
4876,路过,lù guò,pass by,6
4877,露,lù,reveal; expose; show; betray;  dew,6
4878,旅店,lǚ diàn,inn; hostel; hotel,6
4879,绿化,lǜ huà,greening; afforest,6
4880,马车,mǎ chē,carriage; wagon,6
4881,嘛,ma,(auxiliary word),6
4882,埋,mái,cover; bury,6
4883,馒头,mántou,Steamed buns,6
4884,慢车,màn chē,slow train; local; slow train,6
4885,盲人,máng rén,blind; blindman,6
4886,梅花,méi huā,plum blossom; plum flower,6
4887,美容,měi róng,beauty; cosmetology,6
4888,蒙,mēng,cheat; deceive; make a wild  guess; unconscious,6
4889,蒙,méng,cover; encounter; come  under; receive,6
4890,猛,měng,fierce; violent; abrupt;  suddenly; with a rush,6
4891,棉,mián,cotton,6
4892,免得,miǎndé,lest,6
4893,面对面,miàn duì miàn,face to face; surface -to-,6
4894,面向,miàn xiàng,turn in the direction of; face;  turn towards,6
4895,妙,miào,wonderful; clever; excellent;  fine; subtle,6
4896,灭,miè,destroy; extinguish;  exterminate; drown; put out,6
4897,民歌,mín gē,folk song; ballad,6
4898,民工,mín gōng,migrant workers; civilian  worker,6
4899,民警,mín jǐng,people's police; people's  policeman,6
4900,民意,mín yì,public opinion; popular will;  public will,6
4901,民主,mínzhǔ,democratic,6
