Index,Chinese,Pinyin,English,Level
342,书店,shū diàn,bookstore,1
343,树,shù,tree,1
344,水,shuǐ,water,1
345,水果,shuǐguǒ,Fruits,1
346,睡,shuì,sleep,1
347,睡觉,shuìjiào,sleep,1
348,说,shuō,speak,1
349,说话,shuōhuà,talk,1
350,四,sì,Four,1
351,送,sòng,give,1
352,岁,suì,"year, age",1
353,他,tā,he,1
354,他们,tā men,they,1
355,她,tā,she,1
356,她们,tā men,they,1
357,太,tài,too,1
358,天,tiān,day,1
359,天气,tiānqì,weather,1
360,听,tīng,hear,1
361,听到,tīng dào,hear,1
362,听见,tīng jiàn,hear,1
363,听写,tīng xiě,dictation; dictate,1
364,同学,tóngxué,Classmate,1
365,图书馆,túshūguǎn,Library,1
366,外,wài,"abroad, outside",1
367,外边,wài biān,outside,1
368,外国,wài guó,foreign country,1
369,外语,wài yǔ,foreign language,1
370,玩儿,wánr,play,1
371,晚,wǎn,late,1
372,晚饭,wǎn fàn,dinner,1
373,晚上,wǎnshang,Night,1
374,网上,wǎng shàng,online,1
375,网友,wǎng yǒu,net friend,1
376,忘,wàng,forget,1
377,忘记,wàngjì,forget,1
378,问,wèn,ask,1
379,我,wǒ,I,1
380,我们,wǒmen,We,1
381,五,wǔ,Five,1
382,午饭,wǔ fàn,lunch,1
383,西,xī,west,1
384,西边,xī biān,west; west side,1
385,洗,xǐ,wash,1
386,洗手间,xǐshǒujiān,Restroom,1
387,喜欢,xǐhuan,like,1
388,下（名、动）,xià,below; under; next; go down; get off,1
389,下班,xià bān,get off work,1
390,下边,xià biān,below; under,1
391,下车,xià chē,get off,1
392,下次,xià cì,next time,1
393,下课,xià kè,finish class,1
394,下午,xiàwǔ,Afternoon,1
395,下雨,xiàyǔ,rain,1
396,先,xiān,before,1
397,先生,xiānsheng,Sir,1
398,现在,xiànzài,Now,1
399,想,xiǎng,think,1
400,小,xiǎo,Small,1
401,小孩儿,xiǎo háir,child; kid,1
402,小姐,xiǎojiě,Miss,1
403,小朋友,xiǎo péng yǒu,child; kid,1
404,小时,xiǎoshí,hour,1
405,小学,xiǎo xué,primary school; elementary schoo,1
406,小学生,xiǎo xué  shēng,elementary school student,1
407,笑,xiào,laugh,1
408,写,xiě,write,1
409,谢谢,xièxie,Thank you,1
410,新,xīn,new,1
411,新年,xīn nián,New Year,1
412,星期,xīngqī,week,1
413,星期日,xīng qī rì,Sunday,1
414,星期天,xīng qī tiān,Sunday,1
415,行,xíng,That's ok,1
416,休息,xiūxi,Rest,1
417,学,xué,learn; study,1
418,学生,xuésheng,Student,1
419,学习,xuéxí,Study,1
420,学校,xuéxiào,School,1
421,学院,xué yuàn,college; academy,1
422,要（动）,yào,want,1
423,爷爷,yéye,grandpa,1
424,也,yě,also,1
425,页,yè,page,1
426,一,yī,One,1
427,衣服,yīfu,clothes,1
428,医生,yīshēng,Doctor,1
429,医院,yīyuàn,Hospital,1
430,一半,yí bàn,half,1
431,一会儿,yíhuìr,A little while,1
432,一块儿,yí kuàir,together,1
433,一下儿,yí xiàr,a little bit,1
434,一样,yíyàng,equally,1
435,一边,yìbiān,One side,1
436,一点儿,yīdiǎnr,a little bit,1
437,一起,yìqǐ,together,1
438,一些,yì xiē,some,1
439,用,yòng,use,1
440,有,yǒu,have,1
441,有的,yǒu de,some,1
442,有名,yǒumíng,Famous,1
443,有时候｜有时,yǒu shí  hòu ｜ yǒu,s hí sometimes,1
444,有（一）些,yǒu （ yì ）  xiē,some,1
445,有用,yǒu yòng,useful,1
446,右,yòu,right,1
447,右边,yòubian,Right,1
448,雨,yǔ,rain,1
449,元,yuán,element; Yuan,1
450,远,yuǎn,far,1
451,月,yuè,month,1
452,再,zài,again,1
453,再见,zàijiàn,Bye,1
454,在,zài,stay; in process of,1
455,在家,zài jiā,at home,1
456,早,zǎo,early,1
457,早饭,zǎo fàn,breakfast,1
458,早上,zǎoshang,Morning,1
459,怎么,zěnme,How,1
460,站（名）,zhàn,station,1
461,找,zhǎo,look for,1
462,找到,zhǎo dào,find,1
463,这,zhè,Here (here),1
464,这边,zhè biān,here,1
465,这里,zhè lǐ,here,1
466,这儿,zhèr,here,1
467,这些,zhè xiē,these,1
468,着,zhe,in process of,1
469,真,zhēn,really,1
470,真的,zhēn de,really,1
471,正（副）,zhèng,just; exactly,1
472,正在,zhèngzài,in process of,1
473,知道,zhīdào,know,1
474,知识,zhīshi,knowledge,1
475,中,zhōng,middle; in,1
476,中国,zhōngguó,China,1
477,中间,zhōngjiān,Middle,1
478,中文,zhōngwén,Chinese,1
479,中午,zhōngwǔ,Noon,1
480,中学,zhōng xué,middle school,1
481,中学生,zhōng xué  shēng,middle School student,1
482,重,zhòng,heavy,1
483,重要,zhòngyào,important,1
484,住,zhù,live,1
485,准备,zhǔnbèi,Get ready,1
486,桌子,zhuōzi,Table,1
487,字,zì,"word, character",1
488,子（桌子）,zi （ zhuō zi  ）,noun suffix (table),1
489,走,zǒu,"go, walk",1
490,走路,zǒu lù,walk,1
491,最,zuì,most,1
492,最好,zuìhǎo,Best,1
493,最后,zuìhòu,Last,1
494,昨天,zuótiān,Yesterday,1
495,左,zuǒ,left,1
496,左边,zuǒbian,left,1
497,坐,zuò,sit,1
498,坐下,zuò xià,sit down,1
499,做,zuò,do,1
